year,tas
1972,2.31545056
1973,2.67339686
1974,2.19143588
1975,4.13230227
1976,3.33752339
1977,3.38928226
1978,4.34928864
1979,2.34133925
1980,4.01164703
1981,2.10481712
1982,4.36029215
1983,3.80835132
1984,4.26661938
1985,3.70579987
1986,2.77336397
1987,5.04769938
1988,3.97081766
1989,3.80727914
1990,3.47483501
1991,4.24300150
1992,2.43899443
1993,3.08268982
1994,4.37518863
1995,3.22696088
1996,2.50080799
1997,3.59493719
1998,3.07699069
1999,3.69880137
2000,3.47723021
2001,4.23960813
2002,4.36225457
2003,3.30143609
2004,2.07778532
2005,4.86589671
2006,3.42520817
2007,3.80678879
2008,2.65742306
2009,5.32743786
2010,4.15548325
2011,3.38098542
2012,4.63601739
2013,5.31600670
2014,3.58446206
2015,3.15844179
2016,3.29773536
2017,4.94397500
2018,4.08671128
2019,3.78734555
2020,5.11857254
2021,4.63271243
2022,4.75445116
2023,3.47915253
2024,4.19582845
