year,tas
1972,3.15206782
1973,4.62454508
1974,4.39398952
1975,4.83488076
1976,4.78234078
1977,4.59564723
1978,4.76826923
1979,4.31724910
1980,4.68700028
1981,3.57583402
1982,5.16677350
1983,5.15500758
1984,5.73245106
1985,4.36700096
1986,4.05361180
1987,6.09552316
1988,5.15281224
1989,5.44874897
1990,5.25255721
1991,5.42808106
1992,4.00829887
1993,4.36522608
1994,4.99183209
1995,4.62472774
1996,4.13330232
1997,4.52954232
1998,4.98199269
1999,5.22684726
2000,5.48413978
2001,5.79044320
2002,5.62442446
2003,5.49074304
2004,3.92305280
2005,6.19789771
2006,5.09160119
2007,5.47269782
2008,4.70941549
2009,6.43576992
2010,6.20351530
2011,4.78000069
2012,6.47427626
2013,6.39879032
2014,4.91814861
2015,4.54766680
2016,3.96324097
2017,5.58277157
2018,5.68676592
2019,4.25069272
2020,6.13765853
2021,5.49103943
2022,6.15497656
2023,4.21954094
2024,5.69088434
