year,tas
1972,3.34311876
1973,4.32496574
1974,4.19571796
1975,4.89452612
1976,4.93473451
1977,4.62613760
1978,4.90583643
1979,3.97155010
1980,4.45939195
1981,3.53666001
1982,4.87132172
1983,4.96687411
1984,5.97487582
1985,4.55675564
1986,4.29548958
1987,6.26506851
1988,4.87676563
1989,5.60174279
1990,5.20123323
1991,5.15755638
1992,3.58525264
1993,3.92719241
1994,4.44135741
1995,4.23836997
1996,4.01144448
1997,4.53612618
1998,4.66907080
1999,5.36030403
2000,5.24997145
2001,5.51507565
2002,5.38493862
2003,5.27858693
2004,3.46834856
2005,6.05943477
2006,4.80117043
2007,5.11252212
2008,4.23236369
2009,6.16818870
2010,6.06338567
2011,4.54723951
2012,6.28327148
2013,6.55283186
2014,4.78642592
2015,4.72725806
2016,4.37334856
2017,6.16458321
2018,5.66169854
2019,4.13690694
2020,6.34175278
2021,5.58912646
2022,6.29422210
2023,4.23126749
2024,5.41503426
