year,tas
1972,18.17772809
1973,17.90341903
1974,19.12754239
1975,19.19832791
1976,17.13132382
1977,17.66066302
1978,18.03719614
1979,18.29501048
1980,17.96479017
1981,18.77868925
1982,18.92559431
1983,17.17747649
1984,17.25894305
1985,18.91625337
1986,18.97341478
1987,18.12186107
1988,18.56403321
1989,18.85519719
1990,18.76798820
1991,18.43297420
1992,17.93666911
1993,17.78093859
1994,18.54989495
1995,18.88730230
1996,19.44575067
1997,17.97491788
1998,19.69696770
1999,19.86464401
2000,18.23177065
2001,18.93934518
2002,18.76250037
2003,18.13459959
2004,18.84830367
2005,18.05732079
2006,19.08813196
2007,17.63589735
2008,18.97993033
2009,18.72069231
2010,18.66920598
2011,19.68201553
2012,18.19513897
2013,18.96464634
2014,18.54863280
2015,19.04191433
2016,19.72764632
2017,18.38386435
2018,20.59506967
2019,19.62711754
2020,19.28678440
2021,19.03785289
2022,20.79441692
2023,19.27624053
2024,19.57867534
2025,18.92340276
