year,tas
1972,14.81049187
1973,15.62396129
1974,16.23174074
1975,17.21015756
1976,14.37844789
1977,15.01611678
1978,16.21771353
1979,15.96956931
1980,15.93906024
1981,16.31645414
1982,16.75845738
1983,14.52980047
1984,14.60519080
1985,17.22193133
1986,17.17435121
1987,16.03980167
1988,16.31284050
1989,17.01069145
1990,16.56518738
1991,16.21074012
1992,15.26112098
1993,14.26182086
1994,15.93412947
1995,15.90153652
1996,16.71579766
1997,15.26553074
1998,17.22437946
1999,16.88795104
2000,15.28988318
2001,16.66160827
2002,15.88437788
2003,15.78303827
2004,16.30562045
2005,16.05081034
2006,16.99613019
2007,15.08421806
2008,16.74554442
2009,16.56449735
2010,15.85218194
2011,17.17278776
2012,15.23764147
2013,16.62831213
2014,16.29527097
2015,16.46125655
2016,17.13509816
2017,15.68271069
2018,18.40250758
2019,17.22144046
2020,16.91129139
2021,16.21178024
2022,17.14109868
2023,16.65575395
2024,17.23974071
2025,16.86707910
