year,tas
1972,13.00362340
1973,12.44213919
1974,13.50433061
1975,14.38595439
1976,11.18725931
1977,12.30148038
1978,12.94435982
1979,12.12109270
1980,12.14192815
1981,13.41701147
1982,13.05837619
1983,10.79296253
1984,11.89260297
1985,12.85402237
1986,13.61136589
1987,12.81145685
1988,12.57210449
1989,14.33451849
1990,13.12428337
1991,12.30894663
1992,12.06903857
1993,11.70447293
1994,12.64260914
1995,13.63114008
1996,13.97875379
1997,12.52168135
1998,12.93332970
1999,14.46955931
2000,13.10824845
2001,12.79818897
2002,13.50106606
2003,12.15033111
2004,12.66062039
2005,12.49041898
2006,13.30130472
2007,12.55484209
2008,13.78111340
2009,12.86483276
2010,13.14992885
2011,13.47920531
2012,13.30135529
2013,13.15258743
2014,12.30985273
2015,13.53067602
2016,13.64111217
2017,11.57114171
2018,14.95102820
2019,13.75303048
2020,12.85914748
2021,12.75937040
2022,14.10338224
2023,14.58867403
2024,13.06501924
2025,13.44915929
