year,tas
1972,10.87971181
1973,12.93527175
1974,14.15008182
1975,11.34311732
1976,12.02062683
1977,11.63834376
1978,12.09404233
1979,12.02132154
1980,12.50127047
1981,13.99512190
1982,10.82920272
1983,10.76704117
1984,12.79385976
1985,12.96691389
1986,13.08382854
1987,12.05520917
1988,14.68913468
1989,12.37155033
1990,12.88448386
1991,11.74529917
1992,11.23143836
1993,11.20290459
1994,12.87335187
1995,13.70704556
1996,11.64690450
1997,11.79491735
1998,13.07825725
1999,11.53974303
2000,13.72219731
2001,13.11792451
2002,12.53404294
2003,13.14812800
2004,9.62149654
2005,14.24921590
2006,10.10603797
2007,13.04636055
2008,12.43830437
2009,12.08439370
2010,14.12098062
2011,12.94666586
2012,13.42601858
2013,12.98901574
2014,13.11943363
2015,12.30848043
2016,11.99105214
2017,14.88661646
2018,13.15641525
2019,12.04854316
2020,12.28005955
2021,13.01789421
2022,12.88223609
2023,13.75935014
2024,13.98325959
