year,tas
1972,12.23169240
1973,14.18341367
1974,15.27130152
1975,12.50922882
1976,13.44568035
1977,12.55481190
1978,13.46575876
1979,13.19984209
1980,13.63564037
1981,14.96711115
1982,12.00978845
1983,12.33343107
1984,14.54456461
1985,14.53081725
1986,13.83898647
1987,13.47309199
1988,15.16722133
1989,13.26813537
1990,13.85937606
1991,13.04399320
1992,12.87151221
1993,12.68014323
1994,13.73720373
1995,14.63423409
1996,12.77037387
1997,13.10899161
1998,14.21171015
1999,12.88595633
2000,14.64048512
2001,14.68433220
2002,13.58607929
2003,14.13860735
2004,11.16827222
2005,15.60196198
2006,11.60499999
2007,14.29779280
2008,13.74799605
2009,13.30374206
2010,15.19937749
2011,14.29075967
2012,14.67848555
2013,14.14578464
2014,14.31988569
2015,13.56335210
2016,13.21292470
2017,15.79899178
2018,14.81118070
2019,13.58718099
2020,13.64092558
2021,15.23492074
2022,14.65737716
2023,14.96788089
2024,15.33327709
