year,tas
1972,13.37595228
1973,15.22433053
1974,16.33244808
1975,13.94232877
1976,14.87621299
1977,14.03641184
1978,14.98871852
1979,15.26591251
1980,14.35173221
1981,16.40446752
1982,13.36411401
1983,13.97959346
1984,16.62897923
1985,15.95508617
1986,15.03917808
1987,15.27991604
1988,16.61258948
1989,14.44804242
1990,15.56646045
1991,14.34779054
1992,13.42094123
1993,13.94951834
1994,14.63509943
1995,16.71456916
1996,14.48186478
1997,15.05685815
1998,15.51496686
1999,13.95801591
2000,16.57629695
2001,16.28962881
2002,15.14682280
2003,15.42688909
2004,13.28037119
2005,17.11661953
2006,13.00378259
2007,15.50177198
2008,15.77714538
2009,14.65605391
2010,16.77146708
2011,14.74236412
2012,16.57282369
2013,16.39735307
2014,15.32996023
2015,14.47546178
2016,14.70319929
2017,17.11318162
2018,16.20901458
2019,15.68570924
2020,15.10221829
2021,17.07764472
2022,16.09889527
2023,16.48069819
2024,16.86707910
