year,tas
1972,13.03744756
1973,15.30517010
1974,14.91261491
1975,14.21161930
1976,11.00268055
1977,13.48839412
1978,14.95607680
1979,13.58014745
1980,12.60093293
1981,14.20169848
1982,14.92013185
1983,12.69717087
1984,13.14504948
1985,13.77276974
1986,13.45888999
1987,12.82797843
1988,13.61565491
1989,13.74864373
1990,15.70980675
1991,13.02328474
1992,12.70670867
1993,12.39116872
1994,14.54517966
1995,14.47800611
1996,13.57844220
1997,14.13190968
1998,16.75086895
1999,15.02272948
2000,13.78167182
2001,14.49113517
2002,12.19066715
2003,12.99458750
2004,12.03509823
2005,15.62934309
2006,13.64646967
2007,13.76458851
2008,13.98175200
2009,12.73637774
2010,14.82986228
2011,13.95782980
2012,12.77768906
2013,14.55115832
2014,14.14774374
2015,13.66326159
2016,16.23921381
2017,13.83787409
2018,13.33547943
2019,14.19647303
2020,15.15057903
2021,14.17241747
2022,13.28477488
2023,14.18613450
2024,13.93159813
