year,tas
1972,14.32807159
1973,15.77777018
1974,16.86661331
1975,15.71373855
1976,12.43848739
1977,14.73931089
1978,16.09815197
1979,14.45578092
1980,14.37859404
1981,15.39514185
1982,15.70707759
1983,13.86289348
1984,14.58508863
1985,14.73392795
1986,15.04034555
1987,14.06644128
1988,15.23796930
1989,14.87331607
1990,16.78296633
1991,14.52057511
1992,13.81705623
1993,13.65456071
1994,15.54281472
1995,15.71503988
1996,15.18183766
1997,15.34467487
1998,17.43317969
1999,16.15769469
2000,15.10332089
2001,15.74418815
2002,14.10770603
2003,14.27893678
2004,13.67596815
2005,16.55359940
2006,15.07774687
2007,15.11048693
2008,15.34437086
2009,14.84900543
2010,16.14938663
2011,15.74488497
2012,14.51159363
2013,15.41389892
2014,15.17613909
2015,14.82242485
2016,17.34862621
2017,15.15331704
2018,15.48812735
2019,15.39482996
2020,16.25073431
2021,15.32653567
2022,15.67555867
2023,15.81321298
2024,15.07308973
