year,tas
1972,14.21766136
1973,15.37201236
1974,16.10806624
1975,15.06786477
1976,11.59339817
1977,13.84621490
1978,15.35587225
1979,13.13867903
1980,13.05387563
1981,15.05618513
1982,15.02717491
1983,13.33369200
1984,13.82826776
1985,13.64509310
1986,14.02535104
1987,13.01469399
1988,14.13318966
1989,14.08241758
1990,15.71294261
1991,13.46604853
1992,12.50184940
1993,12.58451999
1994,14.58938492
1995,14.91490003
1996,14.36785293
1997,14.79324634
1998,15.90137363
1999,15.77962836
2000,14.46311524
2001,15.20951236
2002,13.52344322
2003,13.41592643
2004,13.03574271
2005,15.87253129
2006,14.25196123
2007,14.86797924
2008,14.41362732
2009,14.72003205
2010,15.35417811
2011,15.46454899
2012,14.13306440
2013,14.58229930
2014,14.13631334
2015,13.58978556
2016,16.04714854
2017,13.42947955
2018,14.19384158
2019,14.20451389
2020,15.10303198
2021,14.04918727
2022,14.65441087
2023,14.60407891
2024,13.62097333
