year,tas
1972,13.55449344
1973,13.91489886
1974,15.28775917
1975,14.04002845
1976,10.82116417
1977,13.27286820
1978,14.50393015
1979,12.26439001
1980,12.46680500
1981,13.46095449
1982,13.69718394
1983,12.13788559
1984,13.63685688
1985,12.79619785
1986,13.07777023
1987,12.21747788
1988,13.48380989
1989,14.18041245
1990,14.95389064
1991,12.47719817
1992,11.63920964
1993,11.80902971
1994,13.85743205
1995,14.88836599
1996,14.13990540
1997,14.13364096
1998,15.17600822
1999,15.28996681
2000,13.71707049
2001,13.52994943
2002,13.56301833
2003,12.13817004
2004,11.77760909
2005,14.68466972
2006,13.21680310
2007,14.07256795
2008,13.82832164
2009,13.14988938
2010,14.58800095
2011,13.62396334
2012,13.91187061
2013,14.17560841
2014,13.51167351
2015,13.05695954
2016,15.53678212
2017,12.97708913
2018,13.71952908
2019,13.44450537
2020,14.05706134
2021,13.86843236
2022,14.42039507
2023,14.49280341
2024,12.40697894
