year,tas
1972,10.10684292
1973,11.05781901
1974,11.30482531
1975,10.44329967
1976,10.62686867
1977,10.81811715
1978,10.76497468
1979,11.07290514
1980,10.38792019
1981,10.82446245
1982,9.87062454
1983,10.22116540
1984,11.55433109
1985,11.39253297
1986,10.34306600
1987,11.09922974
1988,11.71983897
1989,10.78738134
1990,11.11195941
1991,10.96150485
1992,10.62375700
1993,10.89870115
1994,10.63932891
1995,10.89314568
1996,10.95601272
1997,10.59673200
1998,12.94085700
1999,11.56026264
2000,12.12224510
2001,11.02406071
2002,11.99471309
2003,11.59640872
2004,10.93073668
2005,11.65854308
2006,10.13747051
2007,11.59996485
2008,11.42556556
2009,10.82131407
2010,11.33464575
2011,11.47815943
2012,11.25062620
2013,11.70745320
2014,11.55889802
2015,11.17280544
2016,11.57006542
2017,11.55463357
2018,11.23562846
2019,11.50861729
2020,12.14095774
2021,12.04414126
2022,12.68202979
2023,11.40644239
2024,12.09728086
