year,tas
1972,1.91847023
1973,2.15276606
1974,2.05951030
1975,2.52814383
1976,2.39447325
1977,2.54034241
1978,2.58574028
1979,2.84938162
1980,2.49215296
1981,2.27702076
1982,2.13846263
1983,2.38696127
1984,3.45480806
1985,3.20666683
1986,2.47838000
1987,3.54695869
1988,3.22750001
1989,2.60162491
1990,2.72669488
1991,1.99065521
1992,1.67759287
1993,3.22762769
1994,2.66731994
1995,1.72876624
1996,1.59153610
1997,2.78119001
1998,2.79389813
1999,3.05446388
2000,3.16711230
2001,2.81120039
2002,3.23256809
2003,3.21431535
2004,2.40687725
2005,3.43584155
2006,2.42618779
2007,2.09934350
2008,2.89630674
2009,2.67100145
2010,2.65495178
2011,2.90441487
2012,2.97468408
2013,4.03949458
2014,3.36398289
2015,2.79963633
2016,3.48039078
2017,3.25729336
2018,3.26129080
2019,3.47762636
2020,3.47934948
2021,3.90785942
2022,3.48198547
2023,3.30883508
2024,3.43843016
