year,tas
1972,2.98463924
1973,4.04220553
1974,4.02844894
1975,3.67938651
1976,3.77336730
1977,4.24620148
1978,4.34886116
1979,4.57277831
1980,4.07138265
1981,4.06232305
1982,3.84160145
1983,4.19990358
1984,5.47246079
1985,4.83649423
1986,3.61650875
1987,4.81198308
1988,5.03107787
1989,4.32726052
1990,4.73555399
1991,3.86572393
1992,3.44647386
1993,4.60677898
1994,3.96758727
1995,3.79556007
1996,3.83403858
1997,3.90139885
1998,5.33790035
1999,4.93446891
2000,5.35895717
2001,4.20357209
2002,5.54097463
2003,4.82241958
2004,4.11640126
2005,5.20003791
2006,4.02244241
2007,4.36433393
2008,4.29088331
2009,4.41384187
2010,5.15156661
2011,5.07000915
2012,5.09204297
2013,5.46833923
2014,5.08044006
2015,4.15357251
2016,4.78051171
2017,4.85820704
2018,4.98767312
2019,4.70042050
2020,5.85383417
2021,5.73133482
2022,5.61068836
2023,5.17543045
2024,5.90291008
