year,tas
1972,18.11226903
1973,18.69292202
1974,18.46789853
1975,19.62744284
1976,18.90889446
1977,17.64499687
1978,18.75436110
1979,19.22650329
1980,18.46654400
1981,19.68770749
1982,18.83173348
1983,17.31766364
1984,16.87337927
1985,19.41916693
1986,19.92279987
1987,19.39997651
1988,18.25004698
1989,19.56448481
1990,18.84992953
1991,18.60673348
1992,18.49481679
1993,18.06021766
1994,19.59664109
1995,18.95062637
1996,19.72344973
1997,17.75963044
1998,19.43058252
1999,21.17794394
2000,18.71761666
2001,18.03497495
2002,18.83459129
2003,18.33113060
2004,19.62431099
2005,18.51826652
2006,19.31132164
2007,18.71860319
2008,20.08835734
2009,18.79735359
2010,18.64236611
2011,19.67507047
2012,18.09622612
2013,19.24235045
2014,18.19065142
2015,20.00288913
2016,20.30030536
2017,18.39198246
2018,21.75439242
2019,20.52199342
2020,19.09422956
2021,19.39498121
2022,20.61578453
2023,19.68525681
2024,20.54195897
