year,tas
1972,13.94222281
1973,15.13174799
1974,14.36022581
1975,16.35689881
1976,14.56383481
1977,13.32711351
1978,15.80284346
1979,15.04876874
1980,14.78353564
1981,16.13752165
1982,14.70027385
1983,13.16679224
1984,13.11454855
1985,15.78537186
1986,16.59621766
1987,15.84730420
1988,15.21316416
1989,16.53765977
1990,15.17436774
1991,15.08139203
1992,14.85586462
1993,13.62891323
1994,15.25611194
1995,15.12714017
1996,15.85244020
1997,13.84141109
1998,15.62467976
1999,16.87347574
2000,14.36308064
2001,13.89282117
2002,15.09332956
2003,14.55460669
2004,16.15237507
2005,15.13257949
2006,14.97734075
2007,15.00951600
2008,16.33311301
2009,15.62123261
2010,14.85341221
2011,15.40319422
2012,14.34726687
2013,15.18898535
2014,13.65421115
2015,16.36396043
2016,15.49655649
2017,13.79709843
2018,18.40997358
2019,16.70432512
2020,15.45499142
2021,15.07004051
2022,16.19984574
2023,16.26197136
2024,16.14378349
