year,tas
1972,11.68865519
1973,13.23695183
1974,12.44550155
1975,14.85496412
1976,12.45006168
1977,10.99578116
1978,14.40581426
1979,12.44236826
1980,12.62768252
1981,14.01967249
1982,12.49992907
1983,11.18782973
1984,11.37306791
1985,13.83748330
1986,14.99361418
1987,14.31094698
1988,13.61311293
1989,15.07025329
1990,13.41478032
1991,13.65207858
1992,13.08961533
1993,11.94302823
1994,13.11541664
1995,13.57748103
1996,14.26749316
1997,12.46738934
1998,14.23396143
1999,14.94586957
2000,12.11443903
2001,11.56454491
2002,13.32256728
2003,12.99388454
2004,14.36535188
2005,13.67488846
2006,13.02172022
2007,13.00724316
2008,14.77817903
2009,14.10456938
2010,13.07088653
2011,13.15418080
2012,12.78108617
2013,13.49165176
2014,11.34604741
2015,14.83953926
2016,12.98562368
2017,11.42579617
2018,17.31121528
2019,14.56743354
2020,13.83360472
2021,12.85986451
2022,14.49974506
2023,15.10890849
2024,13.94831205
