year,tas
1972,12.45275335
1973,12.76949186
1974,12.78933200
1975,15.20849986
1976,12.56093063
1977,11.60033543
1978,13.80189695
1979,12.27408222
1980,12.86278333
1981,14.37797031
1982,12.28122038
1983,10.55550671
1984,11.45435341
1985,13.49330859
1986,14.53969455
1987,13.72334570
1988,12.95345704
1989,15.66463745
1990,12.84599343
1991,13.00265915
1992,13.11640451
1993,11.33411933
1994,13.11803026
1995,13.99647160
1996,15.08022409
1997,12.43324436
1998,13.25550528
1999,15.72988153
2000,13.77730945
2001,12.20555524
2002,13.95994291
2003,12.75396232
2004,14.24230517
2005,13.40512989
2006,12.47790894
2007,13.52076649
2008,14.68055809
2009,13.52106766
2010,13.44505995
2011,13.62942763
2012,12.54265487
2013,12.95671995
2014,11.23806880
2015,14.46021125
2016,13.90805881
2017,10.93705824
2018,17.01331145
2019,14.33202969
2020,13.61324722
2021,12.62988581
2022,14.88026406
2023,15.98847274
2024,13.81004139
