year,tas
1972,7.44532037
1973,6.55645603
1974,8.07212550
1975,6.87442333
1976,6.64764914
1977,6.92390632
1978,7.78300044
1979,7.67522316
1980,7.06490057
1981,7.82505082
1982,6.48854618
1983,6.82931949
1984,8.39424658
1985,8.58663721
1986,6.17173663
1987,7.04997349
1988,8.32679629
1989,6.30228458
1990,7.69315510
1991,6.85721167
1992,8.07046840
1993,7.65284578
1994,6.65783031
1995,6.79060981
1996,7.45834733
1997,6.55252762
1998,9.40898365
1999,7.91182501
2000,8.88347768
2001,6.03199735
2002,8.01679629
2003,6.37115334
2004,6.78465312
2005,8.61947857
2006,8.18164384
2007,8.08011931
2008,7.82288997
2009,6.85182059
2010,6.78383120
2011,7.53155988
2012,7.93046840
2013,8.78908087
2014,7.47701723
2015,7.18312859
2016,8.30764914
2017,7.18658418
2018,8.41042863
2019,9.17173663
2020,7.79199293
2021,8.17168802
2022,8.61233760
2023,8.19422448
2024,8.23015908
