year,tas
1972,3.73833999
1973,3.47556523
1974,3.76023551
1975,2.87368541
1976,3.00470597
1977,4.10164716
1978,4.27631031
1979,4.07022552
1980,3.17104482
1981,3.50653154
1982,2.56528690
1983,3.11281901
1984,5.04681130
1985,4.43408650
1986,3.15476021
1987,4.01124607
1988,4.40790894
1989,3.09576220
1990,4.10721239
1991,3.12248644
1992,3.58084356
1993,4.05599201
1994,3.10819298
1995,1.65974736
1996,3.33150442
1997,3.53686554
1998,5.42517128
1999,4.66235798
2000,5.39111476
2001,2.56522552
2002,4.13719098
2003,3.45803169
2004,2.95179132
2005,5.09321011
2006,4.09445904
2007,3.85705824
2008,3.92692835
2009,3.17286611
2010,4.29479303
2011,3.48815016
2012,4.68373680
2013,5.06027405
2014,3.91328005
2015,3.47920354
2016,4.10647588
2017,3.99762632
2018,4.87956323
2019,5.30669426
2020,4.60092207
2021,5.11576649
2022,4.81851841
2023,4.89398373
2024,5.09530403
