year,tas
1972,1.79372084
1973,3.44504775
1974,2.46017144
1975,2.01511821
1976,2.19329263
1977,2.66387662
1978,1.53868561
1979,3.84122593
1980,2.53883905
1981,3.86439878
1982,2.14548301
1983,2.97289259
1984,4.53007594
1985,3.99348599
1986,3.27489353
1987,4.11901910
1988,3.84015892
1989,3.46003131
1990,3.74383670
1991,2.46572413
1992,1.83801002
1993,5.04472522
1994,2.35113277
1995,3.17881869
1996,2.69183341
1997,3.42818459
1998,3.47529357
1999,3.84420542
2000,4.43748787
2001,3.87490293
2002,4.07791921
2003,5.59702129
2004,5.22885627
2005,3.01276891
2006,1.56299358
2007,2.62090340
2008,4.46300767
2009,2.24979176
2010,3.07869031
2011,4.81816581
2012,2.65963128
2013,3.14248708
2014,5.10846407
2015,3.59990841
2016,5.34676844
2017,3.88797949
2018,3.53371145
2019,3.59978942
2020,4.27819868
2021,5.29354235
2022,4.33139894
2023,4.22327775
2024,4.46584782
