year,tas
1972,3.93675732
1973,5.90596974
1974,5.23195631
1975,4.53747222
1976,4.50130900
1977,5.22309228
1978,4.50901169
1979,6.30453224
1980,5.13902068
1981,6.30936196
1982,4.55532446
1983,5.34114568
1984,6.59318206
1985,6.54295333
1986,5.56838975
1987,5.95558147
1988,6.28435703
1989,5.83747933
1990,5.79777565
1991,4.89477084
1992,4.46358919
1993,6.84213718
1994,5.01457619
1995,5.53516883
1996,4.90165564
1997,5.63414469
1998,6.26992791
1999,6.24354640
2000,6.56857367
2001,5.94440925
2002,7.13470789
2003,7.63964973
2004,6.89058219
2005,5.39716619
2006,4.32102471
2007,5.29253807
2008,6.39689598
2009,4.46602921
2010,5.72100165
2011,7.03555493
2012,5.22524120
2013,6.01948888
2014,7.49974748
2015,6.11582862
2016,7.39084515
2017,6.11970223
2018,5.77277551
2019,5.94784440
2020,7.00246831
2021,7.59118876
2022,6.90707670
2023,6.75329026
2024,6.97962144
