year,tas
1972,5.59226941
1973,8.49325571
1974,7.82980822
1975,6.88831050
1976,6.82770320
1977,7.63826027
1978,7.36008676
1979,8.42480822
1980,7.47057078
1981,9.07325114
1982,7.16290411
1983,7.88876712
1984,9.02235160
1985,9.20225114
1986,8.07232877
1987,8.01415982
1988,8.78642466
1989,8.46611416
1990,8.21915982
1991,7.10774886
1992,7.64755708
1993,9.21147489
1994,7.56058904
1995,7.60594521
1996,7.20377626
1997,7.23274429
1998,8.19104110
1999,8.30977626
2000,9.04312329
2001,8.48913699
2002,9.83529224
2003,10.43692237
2004,9.29864840
2005,7.66914612
2006,6.70236530
2007,7.78288128
2008,8.30625114
2009,6.80877626
2010,8.24434247
2011,8.98713242
2012,7.41669863
2013,8.58663014
2014,9.81793151
2015,8.14125114
2016,9.73263470
2017,7.78355708
2018,8.07095434
2019,8.16821918
2020,9.71705023
2021,10.24266667
2022,9.92024658
2023,9.28594064
2024,9.07019178
