year,tas
1972,9.40699523
1973,9.26562927
1974,8.51590667
1975,9.79118177
1976,8.98260749
1977,8.43663877
1978,10.48369759
1979,8.53134997
1980,8.66357875
1981,9.36490415
1982,8.80235170
1983,8.72795367
1984,8.83499193
1985,9.06481194
1986,9.43148589
1987,9.25223203
1988,8.01069882
1989,9.49359677
1990,9.97644488
1991,8.94731275
1992,7.44597708
1993,8.09515633
1994,8.86533575
1995,9.49346136
1996,8.56413537
1997,8.67108543
1998,9.94955541
1999,10.19767078
2000,9.32931425
2001,9.43509796
2002,9.42584438
2003,9.41426307
2004,8.67398219
2005,8.99968302
2006,8.63021513
2007,10.36550683
2008,8.84275347
2009,8.31251293
2010,9.99982129
2011,9.58800954
2012,8.57552714
2013,9.64871816
2014,9.35646171
2015,9.56839595
2016,10.31282204
2017,9.01355128
2018,9.05546532
2019,10.16787944
2020,9.10627435
2021,9.71655114
2022,10.21782540
2023,9.78173598
2024,8.32278285
