year,tas
1972,11.02425960
1973,11.00683125
1974,10.62850460
1975,11.56077882
1976,10.59970293
1977,10.12513900
1978,11.85343778
1979,10.74446343
1980,10.31966702
1981,11.36245007
1982,10.31418895
1983,10.31447480
1984,10.69344723
1985,10.59329406
1986,11.05483293
1987,10.62492182
1988,9.86797244
1989,11.13841083
1990,11.56192179
1991,10.43158594
1992,8.86447740
1993,9.90045524
1994,10.50201301
1995,11.35414898
1996,10.55638797
1997,10.54812279
1998,11.62061458
1999,11.98509934
2000,11.19847453
2001,11.14235603
2002,11.07184302
2003,11.26911637
2004,10.28981346
2005,10.94529356
2006,10.75502168
2007,11.73118868
2008,10.65521027
2009,10.00543640
2010,11.33734968
2011,11.35488697
2012,10.43968516
2013,11.56651951
2014,11.25135111
2015,11.28853143
2016,12.13727502
2017,11.18939029
2018,11.16831614
2019,11.85894272
2020,10.80113073
2021,11.28188239
2022,12.09808945
2023,11.69684072
2024,10.18808335
