year,tas
1972,8.57167715
1973,8.50949920
1974,8.09641071
1975,8.95255756
1976,8.49957487
1977,7.75728785
1978,9.65991047
1979,8.02837328
1980,8.03976192
1981,8.58032514
1982,8.05072272
1983,7.23016866
1984,8.15972612
1985,8.18310847
1986,8.87870690
1987,8.45174041
1988,6.81021166
1989,8.50993598
1990,8.94257313
1991,8.25675254
1992,6.45952719
1993,7.45285070
1994,7.88561953
1995,8.32168325
1996,7.77756290
1997,7.94835452
1998,8.65599579
1999,9.49263222
2000,8.60938963
2001,8.54952104
2002,8.69038843
2003,8.60460230
2004,7.83132282
2005,7.98531719
2006,7.87503925
2007,9.49988204
2008,7.66002939
2009,7.68762788
2010,9.10893262
2011,8.69367330
2012,7.97606090
2013,8.88560647
2014,8.47789492
2015,8.68057235
2016,9.51121220
2017,8.32047755
2018,8.22873203
2019,9.47254958
2020,8.17143481
2021,8.69174509
2022,9.73994045
2023,8.99271365
2024,7.64092074
