year,tas
1972,12.70103476
1973,12.83473830
1974,11.79992336
1975,13.63163279
1976,12.12542048
1977,11.82631261
1978,13.52183950
1979,12.78113203
1980,11.97808013
1981,13.50065812
1982,11.96510866
1983,12.69182148
1984,12.74885963
1985,12.29404173
1986,12.83814661
1987,12.19092174
1988,11.58831458
1989,13.34072667
1990,13.49560873
1991,12.10749644
1992,10.28361668
1993,11.43847273
1994,12.49288192
1995,13.17786385
1996,12.47298846
1997,12.21769455
1998,13.82071449
1999,13.87643870
2000,12.88722478
2001,13.01803427
2002,12.67294010
2003,13.18559994
2004,11.86519296
2005,12.86306388
2006,12.58439638
2007,13.56864771
2008,12.52179658
2009,11.57779113
2010,13.20785481
2011,13.05678902
2012,11.92933633
2013,13.41978283
2014,13.24287107
2015,13.31600692
2016,14.15800054
2017,12.77951888
2018,13.22682403
2019,13.65292105
2020,12.77193980
2021,13.13744165
2022,13.65296121
2023,13.73186144
2024,12.02897805
