year,tas
1972,9.43833806
1973,9.20650247
1974,9.63705065
1975,9.93852119
1976,9.31168873
1977,8.83452003
1978,10.66168332
1979,9.31722722
1980,9.05697307
1981,9.87350255
1982,9.17619720
1983,8.42304227
1984,9.35277432
1985,9.58509411
1986,9.70129763
1987,9.38242402
1988,7.99801995
1989,9.70701540
1990,9.87463527
1991,8.99645534
1992,7.23157479
1993,8.73265893
1994,8.94788216
1995,9.88220341
1996,9.24882187
1997,9.22879946
1998,9.62222349
1999,10.65128574
2000,9.84306155
2001,9.66932109
2002,9.71780477
2003,10.10534804
2004,9.13236244
2005,9.34052929
2006,9.51874993
2007,10.12176588
2008,9.42924086
2009,8.68715761
2010,9.85682536
2011,10.05853844
2012,9.35381589
2013,10.05711753
2014,9.97332050
2015,10.03084943
2016,10.41003364
2017,10.04343747
2018,9.57569707
2019,10.83491154
2020,9.36175748
2021,9.78396590
2022,11.38699385
2023,10.22593807
2024,8.75848582
