year,tas
1972,18.98442687
1973,18.28091920
1974,17.30196524
1975,18.92257282
1976,18.21114939
1977,18.27079549
1978,18.39285938
1979,19.28976668
1980,16.63114626
1981,19.62390385
1982,17.22863295
1983,18.26092233
1984,18.48055904
1985,17.75666301
1986,17.52463984
1987,16.92859380
1988,17.42208738
1989,18.35633417
1990,19.32161760
1991,17.24859067
1992,16.40805669
1993,16.79652365
1994,17.07727842
1995,18.40797839
1996,17.15598184
1997,17.94098027
1998,19.86575321
1999,19.75518321
2000,18.10352333
2001,18.32262762
2002,18.61998904
2003,18.77945506
2004,16.20346852
2005,18.98852960
2006,18.02942374
2007,18.81897902
2008,18.62878954
2009,17.35275603
2010,18.04978860
2011,17.74998434
2012,17.10692139
2013,18.81785155
2014,17.74272628
2015,19.19449577
2016,19.45172252
2017,18.88430943
2018,19.37007516
2019,19.21893987
2020,18.02031005
2021,18.82911838
2022,19.72606483
2023,17.34517695
2024,16.93523332
