year,tas
1972,14.44035739
1973,13.87598106
1974,12.37021498
1975,14.74998695
1976,13.59122862
1977,13.76869401
1978,14.27149410
1979,14.30100864
1980,12.29661446
1981,14.77139402
1982,13.55782927
1983,13.17138027
1984,14.28074299
1985,13.26822282
1986,13.43373257
1987,12.42584393
1988,12.56238192
1989,14.00186808
1990,14.42544923
1991,13.47586751
1992,11.62932365
1993,11.96027410
1994,12.19259280
1995,13.52610739
1996,12.41082867
1997,12.56922964
1998,14.85504153
1999,15.27739690
2000,13.25009783
2001,13.61938572
2002,13.75830552
2003,14.48421191
2004,12.48041749
2005,13.79717647
2006,12.10204957
2007,14.65632936
2008,14.22071916
2009,12.95765634
2010,13.71939133
2011,13.39903459
2012,12.32389935
2013,14.67550299
2014,13.22897415
2015,14.13897875
2016,14.57800326
2017,14.03496678
2018,14.47240688
2019,15.34136856
2020,12.85525362
2021,13.75963671
2022,14.67584954
2023,13.14046028
2024,12.20503452
