year,tas
1972,12.04086844
1973,11.70397829
1974,10.47744711
1975,12.56673143
1976,11.58019285
1977,11.55453237
1978,12.15884064
1979,11.58083328
1980,10.13099673
1981,12.03682230
1982,11.75040605
1983,10.00933407
1984,12.06918317
1985,10.93479410
1986,11.76151339
1987,10.46598306
1988,10.17108288
1989,11.66480396
1990,11.57558030
1991,12.01992845
1992,9.56677152
1993,9.80405950
1994,9.80610621
1995,10.80033409
1996,10.08125167
1997,9.94077592
1998,12.21607147
1999,13.28130513
2000,11.03563293
2001,11.49711034
2002,11.35398343
2003,12.58468205
2004,10.89668784
2005,11.21387878
2006,9.21748083
2007,12.73901396
2008,11.71387672
2009,11.05715064
2010,12.06969510
2011,11.03936656
2012,9.85985937
2013,12.89438414
2014,11.08064825
2015,11.67144987
2016,12.22237916
2017,11.24151504
2018,12.18363762
2019,13.53968523
2020,10.24223051
2021,11.78478587
2022,12.96606838
2023,10.97975287
2024,10.05013055
