year,tas
1972,13.42344913
1973,12.76566722
1974,11.65822650
1975,13.82087814
1976,12.53078991
1977,13.31719741
1978,13.18383650
1979,13.29988282
1980,11.40177833
1981,13.90879859
1982,13.07257375
1983,12.20474221
1984,13.30567618
1985,12.80491798
1986,12.38565274
1987,11.60527295
1988,11.15031017
1989,12.96723187
1990,13.52302178
1991,12.51215192
1992,10.11557417
1993,11.36911704
1994,11.40376689
1995,12.27806727
1996,11.65761993
1997,11.95671009
1998,13.24464778
1999,14.36520885
2000,12.72242211
2001,13.32021988
2002,13.13459126
2003,14.02487593
2004,11.83102771
2005,13.26913082
2006,12.01611525
2007,13.32752275
2008,13.33714502
2009,12.00513854
2010,12.71840019
2011,12.67759167
2012,11.82049904
2013,13.58320237
2014,12.20705817
2015,13.10306383
2016,13.50530742
2017,13.30952923
2018,13.19626758
2019,14.44706714
2020,12.06213468
2021,12.27733664
2022,13.63944031
2023,12.08850979
2024,11.10512476
