year,tas
1972,15.97904110
1973,15.34254971
1974,12.83629695
1975,16.38402121
1976,14.82841361
1977,14.71951392
1978,16.02116217
1979,15.94722050
1980,13.75535130
1981,16.97467963
1982,14.75524083
1983,15.70053027
1984,16.04991162
1985,14.71862130
1986,14.72451613
1987,13.72460893
1988,14.18952276
1989,16.11534247
1990,16.64619532
1991,14.77831198
1992,13.27112682
1993,13.12002209
1994,14.10129032
1995,15.52298277
1996,13.78754750
1997,14.11822802
1998,17.40206363
1999,17.16728237
2000,14.40941670
2001,15.17439682
2002,15.69720725
2003,16.27321697
2004,13.76860804
2005,15.64535130
2006,13.60163058
2007,16.56547945
2008,16.06635440
2009,14.08479894
2010,15.27268228
2011,15.01775961
2012,13.89792311
2013,15.82821476
2014,14.80116217
2015,16.17883341
2016,16.28608926
2017,15.29522316
2018,15.98999116
2019,16.60694653
2020,14.96996907
2021,15.31080866
2022,15.59355281
2023,15.05607601
2024,14.13339814
