year,tas
1972,13.21862668
1973,13.97012997
1974,13.60577044
1975,14.74576417
1976,12.33781710
1977,11.24135609
1978,13.13204666
1979,12.93068431
1980,12.72947855
1981,13.10127623
1982,13.09606953
1983,12.81240213
1984,12.93928124
1985,12.14300814
1986,13.45661604
1987,12.95909020
1988,13.94761979
1989,13.31992640
1990,13.84014250
1991,12.78008143
1992,11.93769183
1993,13.38927341
1994,14.13870968
1995,14.19993736
1996,13.04649233
1997,14.41186189
1998,14.82957250
1999,14.71419511
2000,14.81603508
2001,14.63923426
2002,14.49858284
2003,14.47418572
2004,14.01771845
2005,14.74144222
2006,13.68026151
2007,14.70251331
2008,12.35707015
2009,11.65941121
2010,13.80232540
2011,14.94220169
2012,12.88434858
2013,13.80866740
2014,13.61356091
2015,13.52012214
2016,15.74419042
2017,13.49602255
2018,14.07605700
2019,14.43604760
2020,13.81428124
2021,14.22606483
2022,14.98488099
2023,15.47628406
2024,12.74976511
