year,tas
1972,7.46740240
1973,8.24205802
1974,8.19669180
1975,8.57010325
1976,7.36641425
1977,6.06319167
1978,8.18445249
1979,7.30933592
1980,8.21761098
1981,7.40968331
1982,7.96236774
1983,7.45359159
1984,7.01981060
1985,7.50995281
1986,7.97216630
1987,8.64265330
1988,7.28687725
1989,8.31424453
1990,8.80588006
1991,7.88829491
1992,6.17684752
1993,8.13351192
1994,8.25759135
1995,8.51889403
1996,7.78866869
1997,9.09066450
1998,8.74385368
1999,9.73799902
2000,9.07771734
2001,8.73168202
2002,8.72578792
2003,8.85796346
2004,8.66695998
2005,8.81134745
2006,8.05770828
2007,9.96815769
2008,6.69397453
2009,6.26463361
2010,8.54753833
2011,10.09299789
2012,7.63514686
2013,8.41598067
2014,8.62475486
2015,8.30085958
2016,10.08065583
2017,7.82814419
2018,8.36066094
2019,9.74465753
2020,8.59432052
2021,8.62578217
2022,9.76637677
2023,10.12283709
2024,7.08130543
