year,tas
1972,4.85611649
1973,5.29651103
1974,5.35986554
1975,5.10805938
1976,5.37890993
1977,3.42537984
1978,5.99112235
1979,4.19699315
1980,5.60763893
1981,4.33930077
1982,5.50061062
1983,4.49620058
1984,3.76285902
1985,4.58697342
1986,4.95486544
1987,6.40695327
1988,3.10967639
1989,5.31788585
1990,6.41466724
1991,5.33467588
1992,3.21328975
1993,5.29323382
1994,5.00410165
1995,5.63367360
1996,5.11737392
1997,6.13918460
1998,5.91540328
1999,7.46700898
2000,6.39874586
2001,5.21412858
2002,6.19964946
2003,5.95506281
2004,5.37450708
2005,5.16742121
2006,4.80585127
2007,7.59425975
2008,3.36722589
2009,3.38145213
2010,5.39236621
2011,7.09976254
2012,5.07410514
2013,5.28165772
2014,5.59870680
2015,5.62480828
2016,6.87731861
2017,4.53041901
2018,4.68710808
2019,7.11103127
2020,5.87541787
2021,5.41430642
2022,7.11685684
2023,7.05578240
2024,3.87828389
