year,tas
1972,6.37509305
1973,6.98452578
1974,7.06527433
1975,7.51726978
1976,6.21846567
1977,4.82623725
1978,6.92313551
1979,6.28924731
1980,7.05881927
1981,6.24040185
1982,6.77486904
1983,6.29614006
1984,5.93808244
1985,6.82678178
1986,7.11495037
1987,7.42839813
1988,5.74017783
1989,7.37851875
1990,7.29600565
1991,6.64232837
1992,5.11207265
1993,7.31135925
1994,6.97008202
1995,7.33082437
1996,6.41287565
1997,7.90420458
1998,7.53538048
1999,8.02650262
2000,7.89001241
2001,7.74835608
2002,7.41319617
2003,7.73173766
2004,8.83721395
2005,7.59274194
2006,7.50745795
2007,8.38000069
2008,5.71515715
2009,4.96970637
2010,7.78415357
2011,9.77280121
2012,6.54681900
2013,7.13942652
2014,7.39429970
2015,6.64367246
2016,8.22277709
2017,6.68435346
2018,7.37272884
2019,8.60877792
2020,7.72167770
2021,7.78418459
2022,8.82039220
2023,9.13969534
2024,6.46399917
