year,tas
1972,5.81745218
1973,6.45516415
1974,7.10559235
1975,7.09437625
1976,5.93943334
1977,4.80385812
1978,7.06555809
1979,5.91616329
1980,6.76388810
1981,5.95186840
1982,6.50917642
1983,5.86619184
1984,5.56574508
1985,6.58348844
1986,6.72008279
1987,7.71890237
1988,4.98833143
1989,7.09634313
1990,7.10193120
1991,6.49576363
1992,4.94361833
1993,7.18331858
1994,6.44067228
1995,7.33393948
1996,6.41392521
1997,8.02999572
1998,7.61891807
1999,8.40899086
2000,7.84964174
2001,7.04062803
2002,7.21176706
2003,7.60613046
2004,7.74143877
2005,7.27960605
2006,7.14546103
2007,8.30490294
2008,5.72123323
2009,4.84187982
2010,7.56715530
2011,8.83006138
2012,6.60507279
2013,7.09734371
2014,7.30462318
2015,6.74116186
2016,8.10242221
2017,7.00949615
2018,6.99882529
2019,8.73906794
2020,7.60568370
2021,7.54549244
2022,8.90554810
2023,8.93266629
2024,6.14768912
