year,tas
1972,17.09797735
1973,16.45974919
1974,16.25161812
1975,15.17988673
1976,14.10453074
1977,13.79682848
1978,15.11881877
1979,15.52032362
1980,14.79693366
1981,15.13577670
1982,15.81195793
1983,14.95677184
1984,16.73221683
1985,14.97714401
1986,15.53715210
1987,15.68764563
1988,16.52287217
1989,16.01496764
1990,15.71316343
1991,14.07581715
1992,15.97564725
1993,14.26489482
1994,15.09305016
1995,15.06380259
1996,15.03974110
1997,15.94644013
1998,16.49762136
1999,16.50420712
2000,14.40389968
2001,16.18895631
2002,14.50555016
2003,14.88760518
2004,15.43970065
2005,15.45226537
2006,15.64389159
2007,14.81866505
2008,15.69483010
2009,15.13969256
2010,15.74586570
2011,15.61182039
2012,14.67850324
2013,16.70774272
2014,14.84745955
2015,15.84500000
2016,15.74168285
2017,16.25717638
2018,15.64848706
2019,16.71066343
2020,16.63994337
2021,17.57303398
2022,16.86976537
2023,15.82870550
2024,16.20744337
