year,tas
1972,13.12297262
1973,12.04337249
1974,12.82623749
1975,10.77836539
1976,10.17076480
1977,10.46740406
1978,11.59504859
1979,12.28935500
1980,10.11991298
1981,11.92070475
1982,11.99665028
1983,11.34375729
1984,12.89400299
1985,11.57740942
1986,11.82871450
1987,12.01144635
1988,12.82016767
1989,12.42283541
1990,11.93638703
1991,9.87650683
1992,12.26224074
1993,9.99268979
1994,11.05570882
1995,10.91084153
1996,10.23064659
1997,11.37089896
1998,11.82773446
1999,11.90697531
2000,9.93325124
2001,11.89863168
2002,10.69553926
2003,10.69869942
2004,11.96255432
2005,11.74555246
2006,11.24121863
2007,11.36597613
2008,11.79824515
2009,11.44310257
2010,13.02919241
2011,11.32199431
2012,10.46911554
2013,12.77246381
2014,10.58630261
2015,11.27853218
2016,11.60815914
2017,12.74370913
2018,11.69526702
2019,13.13732588
2020,12.37981638
2021,13.07000711
2022,13.02973965
2023,11.74767557
2024,12.19778682
