year,tas
1972,10.92699915
1973,9.24456342
1974,11.23136180
1975,8.81554706
1976,8.50812938
1977,8.82744636
1978,9.93795199
1979,10.71405885
1980,7.57528787
1981,10.61201083
1982,9.58036116
1983,9.64199065
1984,10.81508286
1985,9.94987890
1986,10.40988103
1987,10.25438815
1988,11.09231251
1989,10.68069683
1990,9.94198428
1991,7.94836733
1992,10.75323773
1993,8.40853091
1994,8.95176439
1995,8.72391226
1996,8.22040790
1997,9.19044508
1998,9.81970788
1999,9.06758764
2000,7.98388464
2001,10.08476312
2002,9.04322498
2003,8.75727321
2004,10.35865307
2005,10.49836308
2006,8.79235713
2007,9.46549288
2008,10.11346187
2009,10.04768642
2010,12.02305821
2011,9.44023476
2012,8.75155194
2013,10.91677820
2014,8.50125770
2015,9.39229658
2016,9.68649989
2017,11.69722222
2018,9.48331740
2019,11.39295517
2020,10.59484810
2021,10.89488315
2022,11.03052369
2023,9.85562566
2024,10.17718079
