year,tas
1972,12.23823006
1973,11.04978989
1974,12.03292023
1975,9.95390313
1976,8.96341168
1977,9.03874288
1978,10.47384615
1979,11.04685185
1980,8.79467949
1981,10.81390670
1982,10.81925214
1983,10.38635684
1984,11.89933405
1985,10.58303063
1986,10.72668447
1987,10.86074786
1988,11.53467593
1989,11.23548077
1990,10.71528846
1991,8.94395655
1992,10.97276353
1993,8.64379274
1994,9.80456553
1995,10.02841168
1996,9.01078704
1997,10.16092236
1998,11.31818732
1999,11.75385328
2000,9.50918803
2001,10.96560897
2002,10.23467949
2003,10.00551282
2004,11.00410969
2005,10.68432336
2006,10.24345442
2007,10.56841880
2008,10.45923789
2009,10.85589744
2010,12.40308048
2011,10.32086895
2012,9.57497151
2013,11.84990385
2014,8.70601140
2015,9.77928063
2016,9.71737892
2017,11.46050926
2018,10.28109330
2019,11.41205128
2020,11.09775285
2021,11.71859330
2022,11.01366809
2023,10.38932692
2024,10.90350071
