year,tas
1972,14.65147945
1973,13.78672146
1974,13.62661644
1975,11.60465297
1976,11.13945205
1977,12.05742466
1978,12.98115525
1979,13.83139269
1980,12.00706849
1981,12.60637900
1982,13.81608219
1983,12.38246575
1984,14.33773516
1985,12.40646119
1986,12.92061187
1987,13.44852055
1988,14.17055251
1989,14.18326484
1990,13.29507306
1991,11.52818721
1992,13.31983562
1993,11.03305479
1994,12.46589498
1995,12.14300457
1996,11.89993607
1997,13.30283105
1998,12.54811416
1999,14.05926027
2000,11.06285845
2001,13.39451598
2002,11.92435616
2003,12.19664840
2004,13.67869863
2005,12.78712329
2006,13.29281735
2007,12.49921005
2008,13.65715525
2009,12.52721005
2010,13.65797717
2011,12.75011416
2012,12.01673516
2013,14.19133790
2014,12.81621918
2015,12.60860731
2016,13.60536073
2017,13.68535160
2018,13.52163014
2019,14.92068037
2020,13.55920548
2021,14.82751142
2022,14.98262557
2023,13.39827854
2024,13.93968950
