year,tas
1972,8.63965363
1973,9.08765890
1974,7.73991273
1975,7.90704329
1976,6.61258352
1977,8.33893014
1978,8.06607752
1979,7.82959818
1980,9.75739860
1981,8.96675859
1982,6.55354475
1983,8.47688829
1984,8.31052364
1985,7.50617206
1986,8.72323823
1987,8.52531629
1988,9.34368400
1989,9.26005773
1990,8.61826543
1991,8.25549554
1992,7.25249170
1993,9.33038228
1994,7.19414915
1995,7.77213973
1996,9.12591554
1997,9.10319929
1998,8.74853861
1999,9.66730329
2000,8.61517220
2001,9.35395764
2002,7.07054046
2003,7.68365733
2004,7.92381627
2005,8.03315050
2006,8.20519705
2007,7.62506856
2008,8.24678935
2009,6.45511977
2010,8.60553342
2011,8.02692617
2012,7.62432840
2013,8.79935908
2014,8.27064804
2015,9.19667343
2016,8.42631631
2017,9.03174821
2018,8.54210140
2019,7.49321278
2020,9.20145305
2021,9.28743011
2022,7.82616403
2023,8.53120653
2024,8.51906468
