year,tas
1972,10.10335831
1973,10.17721007
1974,9.79601034
1975,9.85734404
1976,8.69649291
1977,9.34527442
1978,8.90837556
1979,9.67313269
1980,10.71591989
1981,9.88004231
1982,8.03418243
1983,10.24100797
1984,9.42635597
1985,9.14201647
1986,10.39117879
1987,10.03093908
1988,10.36327154
1989,10.76283992
1990,10.13836214
1991,9.40261397
1992,8.80867158
1993,10.12911283
1994,8.76451753
1995,9.44450973
1996,10.12956297
1997,10.00248147
1998,10.58546492
1999,10.98945500
2000,10.05391260
2001,11.16004980
2002,8.54479944
2003,9.22805800
2004,9.60114578
2005,9.81450153
2006,9.57372446
2007,9.21294912
2008,9.56210583
2009,8.27061038
2010,9.78014323
2011,10.03396698
2012,9.12674267
2013,10.22233585
2014,9.61936761
2015,10.18755744
2016,10.15481709
2017,10.55344954
2018,9.89750295
2019,9.28675752
2020,10.64420570
2021,10.78658572
2022,9.68909273
2023,10.00209912
2024,10.20331199
