year,tas
1972,11.86561644
1973,11.61068493
1974,11.09041980
1975,11.55835175
1976,10.20861246
1977,10.53318604
1978,9.89547061
1979,11.21015908
1980,12.14283252
1981,10.83038003
1982,9.50220504
1983,11.94887760
1984,11.23094565
1985,10.38699956
1986,11.76771542
1987,11.53488732
1988,12.77761379
1989,12.70408749
1990,12.00121962
1991,10.92880247
1992,10.05060539
1993,11.49526293
1994,10.12955369
1995,11.12669023
1996,11.82354839
1997,11.11786125
1998,12.81684932
1999,12.62132125
2000,11.70571365
2001,12.68077331
2002,10.42360583
2003,10.68038886
2004,11.40153778
2005,11.40826779
2006,11.08942996
2007,10.87068051
2008,11.33594344
2009,9.66460009
2010,10.53851525
2011,11.75781264
2012,11.48555899
2013,12.27765798
2014,11.27953601
2015,11.60129474
2016,11.89223155
2017,12.15392841
2018,11.51662837
2019,11.00201502
2020,12.41532037
2021,12.42508175
2022,10.94319929
2023,11.43043305
2024,12.18399028
