year,tas
1972,14.51396927
1973,14.51944566
1974,14.25194062
1975,14.04674148
1976,12.94068179
1977,12.22502331
1978,13.04888437
1979,13.77064246
1980,13.90856152
1981,13.23729791
1982,13.29260761
1983,13.97044725
1984,13.88787104
1985,13.55976511
1986,13.99360015
1987,14.10929551
1988,14.79003097
1989,14.84497425
1990,13.75348062
1991,13.32418520
1992,13.27017686
1993,12.95086970
1994,13.28691826
1995,13.61235019
1996,14.22212339
1997,14.00488708
1998,15.19868549
1999,14.87076078
2000,13.82623621
2001,14.93124334
2002,13.45620776
2003,13.80562707
2004,13.69719377
2005,14.41355056
2006,14.07949412
2007,13.72356901
2008,14.09025646
2009,13.47890681
2010,14.04619471
2011,13.87792062
2012,13.70466541
2013,14.74001705
2014,13.94908132
2015,14.02981792
2016,14.47825199
2017,14.69468386
2018,13.90210486
2019,14.50788539
2020,14.79781684
2021,15.15173496
2022,14.74356605
2023,14.65763154
2024,14.60422869
