year,tas
1972,10.64141725
1973,10.29337610
1974,10.37427764
1975,9.48002326
1976,8.62641328
1977,8.51110405
1978,9.38520969
1979,9.98524728
1980,9.70893087
1981,9.64831055
1982,9.16307038
1983,9.82371032
1984,10.00515190
1985,9.67652959
1986,9.91456030
1987,9.98172142
1988,10.87668784
1989,10.72040960
1990,9.78611462
1991,9.17672784
1992,9.12865074
1993,8.97944049
1994,8.88371197
1995,9.36730063
1996,9.82493985
1997,9.52417335
1998,10.35807857
1999,10.46664193
2000,9.35450497
2001,10.65554286
2002,9.25310360
2003,9.25895202
2004,9.60627726
2005,10.10217553
2006,10.01252984
2007,9.64449274
2008,9.99245389
2009,9.29146063
2010,10.31471371
2011,9.56577354
2012,9.27324694
2013,10.46618256
2014,9.57087556
2015,9.54558348
2016,10.24047699
2017,10.58247649
2018,9.88289714
2019,10.09276648
2020,10.38320437
2021,10.57950149
2022,10.33360416
2023,10.28885875
2024,10.23246047
