year,tas
1972,9.79696145
1973,9.26020242
1974,9.41630732
1975,8.50013062
1976,7.55874989
1977,7.23812598
1978,8.53117629
1979,8.94626647
1980,8.26161666
1981,8.41583571
1982,7.97311242
1983,8.80956790
1984,8.98616541
1985,8.56488294
1986,8.78487306
1987,8.67249315
1988,9.35571225
1989,9.53898573
1990,8.55255284
1991,8.05620803
1992,8.03233243
1993,7.68035574
1994,7.78010814
1995,8.41244413
1996,8.57852736
1997,8.46618789
1998,9.34360954
1999,9.95737026
2000,8.48762219
2001,9.74679545
2002,8.22473168
2003,8.44258654
2004,8.77792662
2005,8.80140535
2006,8.96571539
2007,8.47380457
2008,8.81365890
2009,8.31478533
2010,9.13724271
2011,8.69386319
2012,8.21403498
2013,9.27026744
2014,8.21318062
2015,8.04649890
2016,8.39413680
2017,9.12145720
2018,8.62753174
2019,8.45070118
2020,8.92563046
2021,9.09429709
2022,8.62334593
2023,8.81584497
2024,8.68445884
