year,tas
1972,7.71593863
1973,7.07911696
1974,6.30323548
1975,6.21819399
1976,4.72767810
1977,3.66563410
1978,5.68718491
1979,6.35184281
1980,7.14909269
1981,5.51028965
1982,5.88346328
1983,5.90799749
1984,6.07722483
1985,6.56803742
1986,5.51422734
1987,6.51295679
1988,8.19172303
1989,7.02805777
1990,5.99285502
1991,6.59903241
1992,4.15498904
1993,5.38722718
1994,5.04608423
1995,5.70779552
1996,7.93776108
1997,5.02723188
1998,7.19431815
1999,6.89351730
2000,6.53409425
2001,7.46859402
2002,7.25656098
2003,5.61477298
2004,5.96532175
2005,7.06179349
2006,7.92957570
2007,6.66079928
2008,7.34659856
2009,6.74011273
2010,6.59024816
2011,5.94525051
2012,6.75205965
2013,6.46474479
2014,6.65409034
2015,5.18267183
2016,7.13596289
2017,6.81625411
2018,6.41710036
2019,6.00759355
2020,6.64861907
2021,6.28369657
2022,6.30311179
2023,7.41619383
2024,6.77835134
