year,tas
1972,8.69792084
1973,8.65954573
1974,8.50058510
1975,7.80436037
1976,7.01198213
1977,5.72063368
1978,7.65220491
1979,7.99325414
1980,8.29095974
1981,7.14418458
1982,7.45837844
1983,7.88636571
1984,7.69509674
1985,8.31016288
1986,7.52378760
1987,7.90277884
1988,9.44662431
1989,8.97555348
1990,7.28359470
1991,8.25106272
1992,6.31503989
1993,6.81651887
1994,6.83090955
1995,7.74655063
1996,9.11460998
1997,7.19913962
1998,8.66103632
1999,8.50349549
2000,8.07635106
2001,8.90794709
2002,8.51897209
2003,7.85009863
2004,7.25513170
2005,8.74647260
2006,9.22264642
2007,8.35455298
2008,8.61701070
2009,8.16066893
2010,8.13480550
2011,7.34135932
2012,8.22388260
2013,8.40374801
2014,8.50695646
2015,7.17066081
2016,8.95845473
2017,8.45027079
2018,8.05592145
2019,7.85421605
2020,8.12559104
2021,7.88191164
2022,8.28198010
2023,9.11680155
2024,8.29628260
