year,tas
1972,7.67298789
1973,7.55832977
1974,7.37009259
1975,6.80151353
1976,6.05545584
1977,4.44799858
1978,6.88516382
1979,7.02729701
1980,6.46301994
1981,5.47772436
1982,6.35157051
1983,6.82087251
1984,6.74172009
1985,6.90012108
1986,6.37067664
1987,6.63335826
1988,8.21525997
1989,7.92149573
1990,5.87255342
1991,7.02356125
1992,5.10893875
1993,5.67063746
1994,5.84805556
1995,6.60335826
1996,7.75336895
1997,6.24134615
1998,7.56613248
1999,7.75711538
2000,6.99085114
2001,7.80752137
2002,6.87241809
2003,6.92245014
2004,6.12340812
2005,7.23772080
2006,8.06497863
2007,7.26891026
2008,7.48443732
2009,6.74093305
2010,6.39446581
2011,6.38885684
2012,7.06511040
2013,7.16413462
2014,7.51690171
2015,5.67439103
2016,7.23616809
2017,6.74601496
2018,6.82209402
2019,6.24685541
2020,6.67594373
2021,6.37817308
2022,6.72395655
2023,7.56908476
2024,6.46185541
