year,tas
1972,10.54073516
1973,10.39814612
1974,10.31763470
1975,9.23714612
1976,8.57393607
1977,7.43387671
1978,9.38631050
1979,9.83755708
1980,10.49161644
1981,9.42270320
1982,8.95980822
1983,9.91933790
1984,9.55111872
1985,9.69677169
1986,9.02108676
1987,9.71932420
1988,11.44800457
1989,10.38941553
1990,8.71070320
1991,10.45294064
1992,7.96389954
1993,8.26650228
1994,8.86007763
1995,9.84616895
1996,11.16110046
1997,8.26316438
1998,10.42423288
1999,10.30156621
2000,9.66076256
2001,10.06005479
2002,10.57389498
2003,10.15164384
2004,8.99764384
2005,10.59153425
2006,10.99626941
2007,9.90048402
2008,10.05683105
2009,9.53955251
2010,10.65967123
2011,8.64228311
2012,9.83477169
2013,10.39707763
2014,10.27881279
2015,8.72978539
2016,10.20345662
2017,10.27302283
2018,9.66101370
2019,9.55336986
2020,10.15180822
2021,9.61794521
2022,9.80052055
2023,11.09792237
2024,10.18770320
