year,tas
1972,6.98786873
1973,7.03680678
1974,7.28086726
1975,6.24642773
1976,6.17256195
1977,4.34294985
1978,6.70244395
1979,6.41699410
1980,5.72893510
1981,4.90442625
1982,6.16028909
1983,6.15233333
1984,6.60387316
1985,6.91679646
1986,6.04482743
1987,6.25439676
1988,7.71348230
1989,7.96001622
1990,6.08549705
1991,6.66140118
1992,5.16572124
1993,5.26597493
1994,5.15278909
1995,6.07698820
1996,7.72485398
1997,6.42808555
1998,7.18016372
1999,7.77077286
2000,6.65950147
2001,7.63272714
2002,6.44034956
2003,5.96252950
2004,5.81597788
2005,7.31320501
2006,7.54616372
2007,6.96138938
2008,6.89922861
2009,6.53319469
2010,5.72883333
2011,5.72811947
2012,6.57622714
2013,6.83908555
2014,7.09721829
2015,5.84105900
2016,7.61630973
2017,6.63660029
2018,6.80767404
2019,6.05951917
2020,6.26888791
2021,6.18107965
2022,6.74042183
2023,7.25390708
2024,5.99760029
