model,experiment,year,tas,clim_mean,tas_anom
ACCESS-CM2,historical,1961,10.28143678,11.00234909,-0.720912314
ACCESS-CM2,historical,1962,10.39273225,11.00234909,-0.609616841
ACCESS-CM2,historical,1963,10.51475434,11.00234909,-0.487594751
ACCESS-CM2,historical,1964,10.32087348,11.00234909,-0.681475607
ACCESS-CM2,historical,1965,10.33785659,11.00234909,-0.664492505
ACCESS-CM2,historical,1966,10.57243969,11.00234909,-0.4299094
ACCESS-CM2,historical,1967,10.49200745,11.00234909,-0.510341638
ACCESS-CM2,historical,1968,10.36055949,11.00234909,-0.6417896
ACCESS-CM2,historical,1969,10.49898475,11.00234909,-0.503364336
ACCESS-CM2,historical,1970,10.39524856,11.00234909,-0.607100532
ACCESS-CM2,historical,1971,10.41195224,11.00234909,-0.590396848
ACCESS-CM2,historical,1972,10.51385642,11.00234909,-0.488492673
ACCESS-CM2,historical,1973,10.27220845,11.00234909,-0.730140642
ACCESS-CM2,historical,1974,10.31179307,11.00234909,-0.690556021
ACCESS-CM2,historical,1975,10.46828984,11.00234909,-0.534059252
ACCESS-CM2,historical,1976,10.43120574,11.00234909,-0.571143351
ACCESS-CM2,historical,1977,10.60743628,11.00234909,-0.394912805
ACCESS-CM2,historical,1978,10.47774485,11.00234909,-0.524604242
ACCESS-CM2,historical,1979,10.43421243,11.00234909,-0.568136665
ACCESS-CM2,historical,1980,10.79654785,11.00234909,-0.205801236
ACCESS-CM2,historical,1981,10.61055798,11.00234909,-0.391791113
ACCESS-CM2,historical,1982,10.66273565,11.00234909,-0.33961344
ACCESS-CM2,historical,1983,10.50064362,11.00234909,-0.501705475
ACCESS-CM2,historical,1984,10.6232686,11.00234909,-0.379080487
ACCESS-CM2,historical,1985,10.71888637,11.00234909,-0.283462717
ACCESS-CM2,historical,1986,10.58443756,11.00234909,-0.417911525
ACCESS-CM2,historical,1987,10.78462169,11.00234909,-0.217727402
ACCESS-CM2,historical,1988,10.68444242,11.00234909,-0.317906675
ACCESS-CM2,historical,1989,10.73849694,11.00234909,-0.26385215
ACCESS-CM2,historical,1990,10.71827653,11.00234909,-0.284072561
ACCESS-CM2,historical,1991,11.02973584,11.00234909,0.027386746
ACCESS-CM2,historical,1992,10.82282392,11.00234909,-0.179525171
ACCESS-CM2,historical,1993,10.71449941,11.00234909,-0.287849683
ACCESS-CM2,historical,1994,10.95711124,11.00234909,-0.04523785
ACCESS-CM2,historical,1995,10.72888574,11.00234909,-0.273463345
ACCESS-CM2,historical,1996,10.91743175,11.00234909,-0.084917344
ACCESS-CM2,historical,1997,10.67418883,11.00234909,-0.328160258
ACCESS-CM2,historical,1998,10.76694805,11.00234909,-0.235401037
ACCESS-CM2,historical,1999,10.96693486,11.00234909,-0.035414231
ACCESS-CM2,historical,2000,11.04890863,11.00234909,0.046559543
ACCESS-CM2,historical,2001,10.99783797,11.00234909,-0.004511121
ACCESS-CM2,historical,2002,10.98037711,11.00234909,-0.021971977
ACCESS-CM2,historical,2003,10.9751036,11.00234909,-0.027245494
ACCESS-CM2,historical,2004,10.85079453,11.00234909,-0.151554558
ACCESS-CM2,historical,2005,10.958817,11.00234909,-0.043532092
ACCESS-CM2,historical,2006,11.00690278,11.00234909,0.004553693
ACCESS-CM2,historical,2007,11.20601523,11.00234909,0.203666145
ACCESS-CM2,historical,2008,11.13737589,11.00234909,0.135026804
ACCESS-CM2,historical,2009,10.90155801,11.00234909,-0.100791077
ACCESS-CM2,historical,2010,11.16899404,11.00234909,0.16664495
ACCESS-CM2,historical,2011,11.10087522,11.00234909,0.098526132
ACCESS-CM2,historical,2012,11.08283559,11.00234909,0.080486498
ACCESS-CM2,historical,2013,11.25444851,11.00234909,0.252099425
ACCESS-CM2,historical,2014,11.32174843,11.00234909,0.319399345
ACCESS-CM2,ssp126,2015,11.43350205,11.00234909,0.431152959
ACCESS-CM2,ssp126,2016,11.23889947,11.00234909,0.236550385
ACCESS-CM2,ssp126,2017,11.32035724,11.00234909,0.318008145
ACCESS-CM2,ssp126,2018,11.41507147,11.00234909,0.412722385
ACCESS-CM2,ssp126,2019,11.51024242,11.00234909,0.507893331
ACCESS-CM2,ssp126,2020,11.35353324,11.00234909,0.35118415
ACCESS-CM2,ssp126,2021,11.40661221,11.00234909,0.404263125
ACCESS-CM2,ssp126,2022,11.31398824,11.00234909,0.311639148
ACCESS-CM2,ssp126,2023,11.32106078,11.00234909,0.318711693
ACCESS-CM2,ssp126,2024,11.57996582,11.00234909,0.577616729
ACCESS-CM2,ssp126,2025,11.66306867,11.00234909,0.660719577
ACCESS-CM2,ssp126,2026,11.50953579,11.00234909,0.507186702
ACCESS-CM2,ssp126,2027,11.6564581,11.00234909,0.654109007
ACCESS-CM2,ssp126,2028,11.59728761,11.00234909,0.594938525
ACCESS-CM2,ssp126,2029,11.49433406,11.00234909,0.491984974
ACCESS-CM2,ssp126,2030,11.63297305,11.00234909,0.63062396
ACCESS-CM2,ssp126,2031,11.79202711,11.00234909,0.789678018
ACCESS-CM2,ssp126,2032,11.62102074,11.00234909,0.618671649
ACCESS-CM2,ssp126,2033,11.83093424,11.00234909,0.828585155
ACCESS-CM2,ssp126,2034,11.34666474,11.00234909,0.344315647
ACCESS-CM2,ssp126,2035,11.77751959,11.00234909,0.775170502
ACCESS-CM2,ssp126,2036,11.70719408,11.00234909,0.704844993
ACCESS-CM2,ssp126,2037,11.6787247,11.00234909,0.676375606
ACCESS-CM2,ssp126,2038,11.74347401,11.00234909,0.741124924
ACCESS-CM2,ssp126,2039,11.51181159,11.00234909,0.509462504
ACCESS-CM2,ssp126,2040,11.74181638,11.00234909,0.73946729
ACCESS-CM2,ssp126,2041,11.82888766,11.00234909,0.826538568
ACCESS-CM2,ssp126,2042,11.98123858,11.00234909,0.978889487
ACCESS-CM2,ssp126,2043,11.75955601,11.00234909,0.757206919
ACCESS-CM2,ssp126,2044,11.74258635,11.00234909,0.740237255
ACCESS-CM2,ssp126,2045,11.79725187,11.00234909,0.794902785
ACCESS-CM2,ssp126,2046,11.98516812,11.00234909,0.982819027
ACCESS-CM2,ssp126,2047,11.93262714,11.00234909,0.930278049
ACCESS-CM2,ssp126,2048,11.84746292,11.00234909,0.845113835
ACCESS-CM2,ssp126,2049,11.99048338,11.00234909,0.988134294
ACCESS-CM2,ssp126,2050,11.95839774,11.00234909,0.956048651
ACCESS-CM2,ssp126,2051,12.08084298,11.00234909,1.078493886
ACCESS-CM2,ssp126,2052,11.89821635,11.00234909,0.895867259
ACCESS-CM2,ssp126,2053,11.96100041,11.00234909,0.958651316
ACCESS-CM2,ssp126,2054,11.97112403,11.00234909,0.968774938
ACCESS-CM2,ssp126,2055,11.86041236,11.00234909,0.858063265
ACCESS-CM2,ssp126,2056,12.08942572,11.00234909,1.087076635
ACCESS-CM2,ssp126,2057,12.10307507,11.00234909,1.100725977
ACCESS-CM2,ssp126,2058,12.09021919,11.00234909,1.087870102
ACCESS-CM2,ssp126,2059,12.07931226,11.00234909,1.076963174
