model,experiment,year,pr
ACCESS-CM2,historical,1960,1386.35017410
ACCESS-CM2,historical,1961,1192.80487835
ACCESS-CM2,historical,1962,1327.70469324
ACCESS-CM2,historical,1963,1751.49615300
ACCESS-CM2,historical,1964,1640.98738557
ACCESS-CM2,historical,1965,1523.50202363
ACCESS-CM2,historical,1966,1322.41689257
ACCESS-CM2,historical,1967,1380.39027280
ACCESS-CM2,historical,1968,1327.69679209
ACCESS-CM2,historical,1969,1134.25181525
ACCESS-CM2,historical,1970,1146.29009571
ACCESS-CM2,historical,1971,1648.44708579
ACCESS-CM2,historical,1972,1447.56170985
ACCESS-CM2,historical,1973,1229.99504262
ACCESS-CM2,historical,1974,1395.27625086
ACCESS-CM2,historical,1975,1317.03614363
ACCESS-CM2,historical,1976,1634.96958675
ACCESS-CM2,historical,1977,1321.83973706
ACCESS-CM2,historical,1978,1708.89473157
ACCESS-CM2,historical,1979,1143.34530136
ACCESS-CM2,historical,1980,1569.77794822
ACCESS-CM2,historical,1981,1338.00450467
ACCESS-CM2,historical,1982,1584.94432598
ACCESS-CM2,historical,1983,1282.74128176
ACCESS-CM2,historical,1984,1558.77319865
ACCESS-CM2,historical,1985,1244.65806205
ACCESS-CM2,historical,1986,1275.28092563
ACCESS-CM2,historical,1987,1577.57770332
ACCESS-CM2,historical,1988,1143.95386198
ACCESS-CM2,historical,1989,1363.98087005
ACCESS-CM2,historical,1990,1411.01958157
ACCESS-CM2,historical,1991,1362.50673244
ACCESS-CM2,historical,1992,1452.50111241
ACCESS-CM2,historical,1993,1086.60116179
ACCESS-CM2,historical,1994,1707.98139808
ACCESS-CM2,historical,1995,1112.79073428
ACCESS-CM2,historical,1996,1437.12336689
ACCESS-CM2,historical,1997,1456.32568390
ACCESS-CM2,historical,1998,1511.69570467
ACCESS-CM2,historical,1999,1326.85845533
ACCESS-CM2,historical,2000,1181.45390749
ACCESS-CM2,historical,2001,1491.65744952
ACCESS-CM2,historical,2002,1385.84538670
ACCESS-CM2,historical,2003,1087.42884200
ACCESS-CM2,historical,2004,1092.09945714
ACCESS-CM2,historical,2005,1338.68882572
ACCESS-CM2,historical,2006,1337.90852594
ACCESS-CM2,historical,2007,1165.60871621
ACCESS-CM2,historical,2008,1340.64477012
ACCESS-CM2,historical,2009,1295.06484330
ACCESS-CM2,historical,2010,1451.81264961
ACCESS-CM2,historical,2011,1652.05889330
ACCESS-CM2,historical,2012,1195.03329077
ACCESS-CM2,historical,2013,1208.96243838
ACCESS-CM2,historical,2014,1009.51699143
ACCESS-CM2,ssp126,2015,1315.68758068
ACCESS-CM2,ssp126,2016,1439.73888308
ACCESS-CM2,ssp126,2017,1396.22379767
ACCESS-CM2,ssp126,2018,1664.38215707
ACCESS-CM2,ssp126,2019,1840.92049134
ACCESS-CM2,ssp126,2020,1478.03941034
ACCESS-CM2,ssp126,2021,1375.84476835
ACCESS-CM2,ssp126,2022,1398.74717225
ACCESS-CM2,ssp126,2023,1462.09477350
ACCESS-CM2,ssp126,2024,1195.68887227
ACCESS-CM2,ssp126,2025,1450.45801111
ACCESS-CM2,ssp126,2026,1612.12471463
ACCESS-CM2,ssp126,2027,1205.86796742
ACCESS-CM2,ssp126,2028,1987.91343955
ACCESS-CM2,ssp126,2029,1678.94793588
ACCESS-CM2,ssp126,2030,1420.28260275
ACCESS-CM2,ssp126,2031,1165.45294205
ACCESS-CM2,ssp126,2032,1433.00059377
ACCESS-CM2,ssp126,2033,1279.01664649
ACCESS-CM2,ssp126,2034,1421.26992267
ACCESS-CM2,ssp126,2035,1081.05593433
ACCESS-CM2,ssp126,2036,1472.14220142
ACCESS-CM2,ssp126,2037,1329.73829092
ACCESS-CM2,ssp126,2038,1541.55341944
ACCESS-CM2,ssp126,2039,1299.52787600
ACCESS-CM2,ssp126,2040,1401.37165570
ACCESS-CM2,ssp126,2041,1543.86418975
ACCESS-CM2,ssp126,2042,1443.26906547
ACCESS-CM2,ssp126,2043,1371.05172379
ACCESS-CM2,ssp126,2044,1325.48225340
ACCESS-CM2,ssp126,2045,1311.81158688
ACCESS-CM2,ssp126,2046,1165.63065482
ACCESS-CM2,ssp126,2047,1415.25722345
ACCESS-CM2,ssp126,2048,1138.87582009
ACCESS-CM2,ssp126,2049,1472.45382984
ACCESS-CM2,ssp126,2050,1445.33327873
ACCESS-CM2,ssp126,2051,1600.67825239
ACCESS-CM2,ssp126,2052,1918.02859999
ACCESS-CM2,ssp126,2053,1357.06249729
ACCESS-CM2,ssp126,2054,1255.03846956
