model,experiment,year,pr
ACCESS-CM2,historical,1960,1436.44585881
ACCESS-CM2,historical,1961,1159.44309340
ACCESS-CM2,historical,1962,1448.27397246
ACCESS-CM2,historical,1963,1476.60196399
ACCESS-CM2,historical,1964,1342.10064313
ACCESS-CM2,historical,1965,1294.83238538
ACCESS-CM2,historical,1966,1214.05337483
ACCESS-CM2,historical,1967,1339.95477530
ACCESS-CM2,historical,1968,1115.05976203
ACCESS-CM2,historical,1969,1187.58011187
ACCESS-CM2,historical,1970,1560.26488997
ACCESS-CM2,historical,1971,1252.36942616
ACCESS-CM2,historical,1972,1373.22732774
ACCESS-CM2,historical,1973,1347.09957797
ACCESS-CM2,historical,1974,1298.00342622
ACCESS-CM2,historical,1975,1251.60874585
ACCESS-CM2,historical,1976,1268.91792986
ACCESS-CM2,historical,1977,1189.38195683
ACCESS-CM2,historical,1978,1445.72498935
ACCESS-CM2,historical,1979,1293.09716206
ACCESS-CM2,historical,1980,1194.08738278
ACCESS-CM2,historical,1981,1335.79083243
ACCESS-CM2,historical,1982,1250.26741241
ACCESS-CM2,historical,1983,1300.45933236
ACCESS-CM2,historical,1984,1306.38062199
ACCESS-CM2,historical,1985,1095.21605133
ACCESS-CM2,historical,1986,1459.33141069
ACCESS-CM2,historical,1987,1354.18666771
ACCESS-CM2,historical,1988,1404.33023551
ACCESS-CM2,historical,1989,1338.02076307
ACCESS-CM2,historical,1990,1400.32627683
ACCESS-CM2,historical,1991,1173.32337048
ACCESS-CM2,historical,1992,1198.12215741
ACCESS-CM2,historical,1993,1216.61192798
ACCESS-CM2,historical,1994,1554.07446333
ACCESS-CM2,historical,1995,1296.09489550
ACCESS-CM2,historical,1996,1262.46081697
ACCESS-CM2,historical,1997,1534.57712607
ACCESS-CM2,historical,1998,1256.85538543
ACCESS-CM2,historical,1999,1274.10247481
ACCESS-CM2,historical,2000,1326.72597602
ACCESS-CM2,historical,2001,1366.07191160
ACCESS-CM2,historical,2002,1078.27310687
ACCESS-CM2,historical,2003,1174.07398510
ACCESS-CM2,historical,2004,1325.22024117
ACCESS-CM2,historical,2005,1279.42090112
ACCESS-CM2,historical,2006,1162.72369062
ACCESS-CM2,historical,2007,1378.87590459
ACCESS-CM2,historical,2008,1458.24525038
ACCESS-CM2,historical,2009,1340.09510169
ACCESS-CM2,historical,2010,1288.03034804
ACCESS-CM2,historical,2011,1459.63056329
ACCESS-CM2,historical,2012,1435.61305727
ACCESS-CM2,historical,2013,1126.18261702
ACCESS-CM2,historical,2014,1577.22082077
ACCESS-CM2,ssp126,2015,1463.01604073
ACCESS-CM2,ssp126,2016,1221.06828657
ACCESS-CM2,ssp126,2017,1450.80551718
ACCESS-CM2,ssp126,2018,1367.91078104
ACCESS-CM2,ssp126,2019,1229.89308367
ACCESS-CM2,ssp126,2020,1642.27715529
ACCESS-CM2,ssp126,2021,1326.43559274
ACCESS-CM2,ssp126,2022,1263.41504446
ACCESS-CM2,ssp126,2023,1214.84542913
ACCESS-CM2,ssp126,2024,1310.64685851
ACCESS-CM2,ssp126,2025,1397.32851945
ACCESS-CM2,ssp126,2026,1440.01976498
ACCESS-CM2,ssp126,2027,1214.00971188
ACCESS-CM2,ssp126,2028,1356.40207553
ACCESS-CM2,ssp126,2029,1758.46840671
ACCESS-CM2,ssp126,2030,1387.58789857
ACCESS-CM2,ssp126,2031,1384.71750239
ACCESS-CM2,ssp126,2032,1306.10554472
ACCESS-CM2,ssp126,2033,1427.26172010
ACCESS-CM2,ssp126,2034,1388.28333919
ACCESS-CM2,ssp126,2035,1277.15351366
ACCESS-CM2,ssp126,2036,1321.49679577
ACCESS-CM2,ssp126,2037,1184.24652036
ACCESS-CM2,ssp126,2038,1247.69745549
ACCESS-CM2,ssp126,2039,1405.51279435
ACCESS-CM2,ssp126,2040,1302.52516723
ACCESS-CM2,ssp126,2041,1197.82390043
ACCESS-CM2,ssp126,2042,1374.32052143
ACCESS-CM2,ssp126,2043,1202.06888930
ACCESS-CM2,ssp126,2044,1284.79154536
ACCESS-CM2,ssp126,2045,1393.34056364
ACCESS-CM2,ssp126,2046,1185.46471543
ACCESS-CM2,ssp126,2047,1443.35054940
ACCESS-CM2,ssp126,2048,1321.48269186
ACCESS-CM2,ssp126,2049,1446.91674627
ACCESS-CM2,ssp126,2050,1497.62645332
ACCESS-CM2,ssp126,2051,1220.48055984
ACCESS-CM2,ssp126,2052,1488.63376288
ACCESS-CM2,ssp126,2053,1374.06263731
ACCESS-CM2,ssp126,2054,1387.89291478
ACCESS-CM2,ssp126,2055,1361.92880769
ACCESS-CM2,ssp126,2056,1257.11962631
ACCESS-CM2,ssp126,2057,1415.45517459
ACCESS-CM2,ssp126,2058,1571.13714591
