model,experiment,year,pr
ACCESS-CM2,historical,1960,1981.43309631
ACCESS-CM2,historical,1961,1661.83502167
ACCESS-CM2,historical,1962,1979.38116000
ACCESS-CM2,historical,1963,1964.01887828
ACCESS-CM2,historical,1964,1964.79672484
ACCESS-CM2,historical,1965,1855.57898780
ACCESS-CM2,historical,1966,1680.05748285
ACCESS-CM2,historical,1967,1764.15925155
ACCESS-CM2,historical,1968,1620.62966183
ACCESS-CM2,historical,1969,1731.15183575
ACCESS-CM2,historical,1970,1906.19084933
ACCESS-CM2,historical,1971,1807.99886151
ACCESS-CM2,historical,1972,1925.03767276
ACCESS-CM2,historical,1973,1867.62563618
ACCESS-CM2,historical,1974,1882.46575871
ACCESS-CM2,historical,1975,1802.14165472
ACCESS-CM2,historical,1976,1750.82698954
ACCESS-CM2,historical,1977,1647.60794118
ACCESS-CM2,historical,1978,1949.02946150
ACCESS-CM2,historical,1979,1716.71585632
ACCESS-CM2,historical,1980,1788.03373023
ACCESS-CM2,historical,1981,1615.40270188
ACCESS-CM2,historical,1982,1789.67715904
ACCESS-CM2,historical,1983,1654.47757187
ACCESS-CM2,historical,1984,1777.58946839
ACCESS-CM2,historical,1985,1550.82605480
ACCESS-CM2,historical,1986,1704.25188600
ACCESS-CM2,historical,1987,1734.43386526
ACCESS-CM2,historical,1988,1901.92887468
ACCESS-CM2,historical,1989,1761.34758711
ACCESS-CM2,historical,1990,1890.16333507
ACCESS-CM2,historical,1991,1689.81584309
ACCESS-CM2,historical,1992,1741.81294702
ACCESS-CM2,historical,1993,1791.48211815
ACCESS-CM2,historical,1994,1938.55367905
ACCESS-CM2,historical,1995,1525.13327010
ACCESS-CM2,historical,1996,1765.52895003
ACCESS-CM2,historical,1997,1854.70710351
ACCESS-CM2,historical,1998,1802.99082861
ACCESS-CM2,historical,1999,1894.60579302
ACCESS-CM2,historical,2000,1932.44494606
ACCESS-CM2,historical,2001,1888.05416149
ACCESS-CM2,historical,2002,1719.29364210
ACCESS-CM2,historical,2003,1664.94747328
ACCESS-CM2,historical,2004,1741.40141304
ACCESS-CM2,historical,2005,1819.91683156
ACCESS-CM2,historical,2006,1688.58809164
ACCESS-CM2,historical,2007,1880.59648972
ACCESS-CM2,historical,2008,1965.40662377
ACCESS-CM2,historical,2009,1903.85599912
ACCESS-CM2,historical,2010,1703.53598431
ACCESS-CM2,historical,2011,2003.63112057
ACCESS-CM2,historical,2012,1815.13793577
ACCESS-CM2,historical,2013,1684.68223364
ACCESS-CM2,historical,2014,1945.48897563
ACCESS-CM2,ssp126,2015,1845.10150508
ACCESS-CM2,ssp126,2016,1821.38637903
ACCESS-CM2,ssp126,2017,1899.92005788
ACCESS-CM2,ssp126,2018,1971.22305626
ACCESS-CM2,ssp126,2019,1962.16961241
ACCESS-CM2,ssp126,2020,2145.90181668
ACCESS-CM2,ssp126,2021,1827.80474937
ACCESS-CM2,ssp126,2022,1820.57434153
ACCESS-CM2,ssp126,2023,1714.62657601
ACCESS-CM2,ssp126,2024,1917.10420737
ACCESS-CM2,ssp126,2025,1946.37764673
ACCESS-CM2,ssp126,2026,1962.29442372
ACCESS-CM2,ssp126,2027,1714.78793483
ACCESS-CM2,ssp126,2028,2038.09754448
ACCESS-CM2,ssp126,2029,2256.31684291
ACCESS-CM2,ssp126,2030,1780.99509320
ACCESS-CM2,ssp126,2031,1920.95291097
ACCESS-CM2,ssp126,2032,1883.73717266
ACCESS-CM2,ssp126,2033,1797.38089527
ACCESS-CM2,ssp126,2034,1989.55687526
ACCESS-CM2,ssp126,2035,1619.49510819
ACCESS-CM2,ssp126,2036,1842.88070236
ACCESS-CM2,ssp126,2037,1725.65955079
ACCESS-CM2,ssp126,2038,1873.36778847
ACCESS-CM2,ssp126,2039,1904.38984898
ACCESS-CM2,ssp126,2040,1839.51620097
ACCESS-CM2,ssp126,2041,1849.31762997
ACCESS-CM2,ssp126,2042,1829.55096782
ACCESS-CM2,ssp126,2043,1728.74516862
ACCESS-CM2,ssp126,2044,1756.38296556
ACCESS-CM2,ssp126,2045,1970.72334473
ACCESS-CM2,ssp126,2046,1701.27504785
ACCESS-CM2,ssp126,2047,1955.17984490
ACCESS-CM2,ssp126,2048,1736.66026295
ACCESS-CM2,ssp126,2049,1925.29935805
ACCESS-CM2,ssp126,2050,2105.58641692
ACCESS-CM2,ssp126,2051,1854.01162052
ACCESS-CM2,ssp126,2052,1983.23602082
ACCESS-CM2,ssp126,2053,1877.44649661
ACCESS-CM2,ssp126,2054,1845.27283125
ACCESS-CM2,ssp126,2055,1838.41080149
ACCESS-CM2,ssp126,2056,1845.64100795
ACCESS-CM2,ssp126,2057,1997.87836649
ACCESS-CM2,ssp126,2058,1931.99843716
ACCESS-CM2,ssp126,2059,1881.64296873
ACCESS-CM2,ssp126,2060,2123.75866917
ACCESS-CM2,ssp126,2061,1888.31141326
ACCESS-CM2,ssp126,2062,1844.66218260
ACCESS-CM2,ssp126,2063,1926.40913190
ACCESS-CM2,ssp126,2064,1778.63629181
ACCESS-CM2,ssp126,2065,2144.83510245
ACCESS-CM2,ssp126,2066,1877.66950910
ACCESS-CM2,ssp126,2067,1885.65395088
ACCESS-CM2,ssp126,2068,1939.58876307
ACCESS-CM2,ssp126,2069,1862.62035644
ACCESS-CM2,ssp126,2070,1950.81145631
ACCESS-CM2,ssp126,2071,1900.30767417
ACCESS-CM2,ssp126,2072,1850.40219268
ACCESS-CM2,ssp126,2073,1825.38215699
ACCESS-CM2,ssp126,2074,1923.40084753
ACCESS-CM2,ssp126,2075,2121.07355436
ACCESS-CM2,ssp126,2076,2030.46900650
ACCESS-CM2,ssp126,2077,1838.84665284
ACCESS-CM2,ssp126,2078,1576.06194597
ACCESS-CM2,ssp126,2079,1724.74115063
ACCESS-CM2,ssp126,2080,2226.86605658
ACCESS-CM2,ssp126,2081,1877.68769774
ACCESS-CM2,ssp126,2082,1877.78355180
ACCESS-CM2,ssp126,2083,1908.45413176
ACCESS-CM2,ssp126,2084,1878.88262412
ACCESS-CM2,ssp126,2085,1774.51881014
ACCESS-CM2,ssp126,2086,2098.18266920
ACCESS-CM2,ssp126,2087,1675.42191408
ACCESS-CM2,ssp126,2088,1786.30840131
ACCESS-CM2,ssp126,2089,1994.60942000
ACCESS-CM2,ssp126,2090,1986.51117297
ACCESS-CM2,ssp126,2091,1540.12625750
ACCESS-CM2,ssp126,2092,1698.21295560
ACCESS-CM2,ssp126,2093,1776.54827933
ACCESS-CM2,ssp126,2094,2098.08365052
ACCESS-CM2,ssp126,2095,2018.57095593
ACCESS-CM2,ssp126,2096,1925.34078016
ACCESS-CM2,ssp126,2097,1933.96887962
ACCESS-CM2,ssp126,2098,1602.03001841
ACCESS-CM2,ssp126,2099,1987.08610410
ACCESS-CM2,ssp245,2015,1933.23759585
ACCESS-CM2,ssp245,2016,1918.98139431
ACCESS-CM2,ssp245,2017,1563.80635515
ACCESS-CM2,ssp245,2018,1999.60676184
ACCESS-CM2,ssp245,2019,1704.58163655
ACCESS-CM2,ssp245,2020,1963.49349784
ACCESS-CM2,ssp245,2021,2178.22044054
ACCESS-CM2,ssp245,2022,1702.72741987
ACCESS-CM2,ssp245,2023,2069.49131971
ACCESS-CM2,ssp245,2024,1943.32252411
