model,experiment,year,pr
ACCESS-CM2,historical,1960,2402.87660544
ACCESS-CM2,historical,1961,1983.89149299
ACCESS-CM2,historical,1962,2791.83509490
ACCESS-CM2,historical,1963,2515.81740495
ACCESS-CM2,historical,1964,2609.51471239
ACCESS-CM2,historical,1965,2369.85010184
ACCESS-CM2,historical,1966,2396.59995235
ACCESS-CM2,historical,1967,2147.40246241
ACCESS-CM2,historical,1968,2094.29656959
ACCESS-CM2,historical,1969,2305.16004470
ACCESS-CM2,historical,1970,2276.99485087
ACCESS-CM2,historical,1971,2141.03630208
ACCESS-CM2,historical,1972,2737.12167517
ACCESS-CM2,historical,1973,2324.73738329
ACCESS-CM2,historical,1974,2388.31614728
ACCESS-CM2,historical,1975,2421.89824138
ACCESS-CM2,historical,1976,2216.39018231
ACCESS-CM2,historical,1977,1673.56835133
ACCESS-CM2,historical,1978,2765.98362954
ACCESS-CM2,historical,1979,2231.80758052
ACCESS-CM2,historical,1980,2482.50713458
ACCESS-CM2,historical,1981,2112.74893769
ACCESS-CM2,historical,1982,2275.44101865
ACCESS-CM2,historical,1983,2178.96555957
ACCESS-CM2,historical,1984,1935.01256451
ACCESS-CM2,historical,1985,1750.27179487
ACCESS-CM2,historical,1986,2173.36870924
ACCESS-CM2,historical,1987,2455.15492184
ACCESS-CM2,historical,1988,2560.77093092
ACCESS-CM2,historical,1989,2389.10207497
ACCESS-CM2,historical,1990,2296.91307474
ACCESS-CM2,historical,1991,2004.12150625
ACCESS-CM2,historical,1992,2219.43452332
ACCESS-CM2,historical,1993,2290.73866415
ACCESS-CM2,historical,1994,2708.56296529
ACCESS-CM2,historical,1995,1917.08725642
ACCESS-CM2,historical,1996,2041.85091970
ACCESS-CM2,historical,1997,2276.12849726
ACCESS-CM2,historical,1998,2236.66623510
ACCESS-CM2,historical,1999,2470.19552744
ACCESS-CM2,historical,2000,2641.39192783
ACCESS-CM2,historical,2001,2394.46653990
ACCESS-CM2,historical,2002,2136.87693204
ACCESS-CM2,historical,2003,2338.23565835
ACCESS-CM2,historical,2004,2277.31701899
ACCESS-CM2,historical,2005,2248.85269058
ACCESS-CM2,historical,2006,1997.05796841
ACCESS-CM2,historical,2007,2298.26646378
ACCESS-CM2,historical,2008,2296.09592146
ACCESS-CM2,historical,2009,2813.83555211
ACCESS-CM2,historical,2010,2333.10179151
ACCESS-CM2,historical,2011,2807.34180173
ACCESS-CM2,historical,2012,2357.12702312
ACCESS-CM2,historical,2013,2633.72135824
ACCESS-CM2,historical,2014,2658.18114364
ACCESS-CM2,ssp126,2015,2423.63850435
ACCESS-CM2,ssp126,2016,2253.70012599
ACCESS-CM2,ssp126,2017,2213.83777124
ACCESS-CM2,ssp126,2018,2225.10106974
ACCESS-CM2,ssp126,2019,2365.70060003
ACCESS-CM2,ssp126,2020,2562.71128135
ACCESS-CM2,ssp126,2021,2100.55151831
ACCESS-CM2,ssp126,2022,2699.87149765
ACCESS-CM2,ssp126,2023,2243.06256954
ACCESS-CM2,ssp126,2024,2451.20879270
ACCESS-CM2,ssp126,2025,2579.71173442
ACCESS-CM2,ssp126,2026,2550.84106617
ACCESS-CM2,ssp126,2027,2319.10255852
ACCESS-CM2,ssp126,2028,2541.87769599
ACCESS-CM2,ssp126,2029,3109.49853042
ACCESS-CM2,ssp126,2030,2104.36151132
ACCESS-CM2,ssp126,2031,2415.72287127
ACCESS-CM2,ssp126,2032,2551.71191273
ACCESS-CM2,ssp126,2033,2147.42184620
ACCESS-CM2,ssp126,2034,2426.10547761
ACCESS-CM2,ssp126,2035,2136.09985764
ACCESS-CM2,ssp126,2036,2085.23983469
ACCESS-CM2,ssp126,2037,2063.74783602
ACCESS-CM2,ssp126,2038,2446.38068082
ACCESS-CM2,ssp126,2039,2611.69465756
ACCESS-CM2,ssp126,2040,2369.24858957
ACCESS-CM2,ssp126,2041,2084.78011563
ACCESS-CM2,ssp126,2042,2069.58666127
ACCESS-CM2,ssp126,2043,2057.96458265
ACCESS-CM2,ssp126,2044,2067.72983586
ACCESS-CM2,ssp126,2045,2556.58655482
ACCESS-CM2,ssp126,2046,1964.40500415
ACCESS-CM2,ssp126,2047,2607.46232572
ACCESS-CM2,ssp126,2048,2047.86531294
ACCESS-CM2,ssp126,2049,2476.69162718
ACCESS-CM2,ssp126,2050,2465.26531850
ACCESS-CM2,ssp126,2051,2343.76374588
ACCESS-CM2,ssp126,2052,2010.01480078
ACCESS-CM2,ssp126,2053,2514.69717029
ACCESS-CM2,ssp126,2054,2112.40570339
