model,experiment,year,pr
ACCESS-CM2,historical,1960,67.93278236
ACCESS-CM2,historical,1961,104.08919010
ACCESS-CM2,historical,1962,105.10457399
ACCESS-CM2,historical,1963,110.15583112
ACCESS-CM2,historical,1964,78.69790709
ACCESS-CM2,historical,1965,103.58979450
ACCESS-CM2,historical,1966,82.60810251
ACCESS-CM2,historical,1967,88.15613345
ACCESS-CM2,historical,1968,33.38220943
ACCESS-CM2,historical,1969,95.06506516
ACCESS-CM2,historical,1970,91.86256359
ACCESS-CM2,historical,1971,123.70610199
ACCESS-CM2,historical,1972,69.08668507
ACCESS-CM2,historical,1973,155.05211488
ACCESS-CM2,historical,1974,159.42481896
ACCESS-CM2,historical,1975,132.61493414
ACCESS-CM2,historical,1976,105.82970614
ACCESS-CM2,historical,1977,90.51663248
ACCESS-CM2,historical,1978,120.95967391
ACCESS-CM2,historical,1979,53.97233169
ACCESS-CM2,historical,1980,76.41923320
ACCESS-CM2,historical,1981,111.62585321
ACCESS-CM2,historical,1982,73.52124501
ACCESS-CM2,historical,1983,76.04018652
ACCESS-CM2,historical,1984,135.72640241
ACCESS-CM2,historical,1985,137.31690388
ACCESS-CM2,historical,1986,58.27584342
ACCESS-CM2,historical,1987,163.36718867
ACCESS-CM2,historical,1988,122.37943190
ACCESS-CM2,historical,1989,36.23946630
ACCESS-CM2,historical,1990,118.30422327
ACCESS-CM2,historical,1991,74.30586224
ACCESS-CM2,historical,1992,64.46748455
ACCESS-CM2,historical,1993,111.78989242
ACCESS-CM2,historical,1994,131.66326737
ACCESS-CM2,historical,1995,93.40277564
ACCESS-CM2,historical,1996,79.01263967
ACCESS-CM2,historical,1997,120.00812794
ACCESS-CM2,historical,1998,145.88897568
ACCESS-CM2,historical,1999,117.43855718
ACCESS-CM2,historical,2000,51.97417645
ACCESS-CM2,historical,2001,110.64838254
ACCESS-CM2,historical,2002,106.95063257
ACCESS-CM2,historical,2003,75.55578859
ACCESS-CM2,historical,2004,68.24984037
ACCESS-CM2,historical,2005,69.10960320
ACCESS-CM2,historical,2006,80.13663343
ACCESS-CM2,historical,2007,105.60176256
ACCESS-CM2,historical,2008,86.20921246
ACCESS-CM2,historical,2009,93.50540036
ACCESS-CM2,historical,2010,199.31187871
ACCESS-CM2,historical,2011,114.11773268
ACCESS-CM2,historical,2012,112.66207582
ACCESS-CM2,historical,2013,60.22818010
ACCESS-CM2,historical,2014,124.17423165
ACCESS-CM2,ssp126,2015,135.59217500
ACCESS-CM2,ssp126,2016,75.95609504
ACCESS-CM2,ssp126,2017,121.45842859
ACCESS-CM2,ssp126,2018,107.66501843
ACCESS-CM2,ssp126,2019,136.42431183
ACCESS-CM2,ssp126,2020,125.16033705
ACCESS-CM2,ssp126,2021,98.36284037
ACCESS-CM2,ssp126,2022,112.11829912
ACCESS-CM2,ssp126,2023,111.64742363
ACCESS-CM2,ssp126,2024,88.24933530
ACCESS-CM2,ssp126,2025,156.33416033
ACCESS-CM2,ssp126,2026,115.66132246
ACCESS-CM2,ssp126,2027,131.30334545
ACCESS-CM2,ssp126,2028,112.31080461
ACCESS-CM2,ssp126,2029,114.07677598
ACCESS-CM2,ssp126,2030,85.47914308
ACCESS-CM2,ssp126,2031,88.20895553
ACCESS-CM2,ssp126,2032,87.66688946
ACCESS-CM2,ssp126,2033,131.58020537
ACCESS-CM2,ssp126,2034,92.70154238
ACCESS-CM2,ssp126,2035,130.71158913
ACCESS-CM2,ssp126,2036,146.47212391
ACCESS-CM2,ssp126,2037,100.89036037
ACCESS-CM2,ssp126,2038,58.08315123
ACCESS-CM2,ssp126,2039,92.41426979
ACCESS-CM2,ssp126,2040,78.44649281
ACCESS-CM2,ssp126,2041,35.60565983
ACCESS-CM2,ssp126,2042,39.92887338
ACCESS-CM2,ssp126,2043,61.16984527
ACCESS-CM2,ssp126,2044,137.09515539
ACCESS-CM2,ssp126,2045,103.35955469
ACCESS-CM2,ssp126,2046,54.45109090
ACCESS-CM2,ssp126,2047,143.32544043
ACCESS-CM2,ssp126,2048,114.67392457
ACCESS-CM2,ssp126,2049,220.61797876
ACCESS-CM2,ssp126,2050,119.96971726
ACCESS-CM2,ssp126,2051,102.72569530
ACCESS-CM2,ssp126,2052,121.38030176
ACCESS-CM2,ssp126,2053,156.56010775
ACCESS-CM2,ssp126,2054,135.47307433
ACCESS-CM2,ssp126,2055,108.53283619
ACCESS-CM2,ssp126,2056,79.52599371
ACCESS-CM2,ssp126,2057,129.86477424
ACCESS-CM2,ssp126,2058,220.45063633
ACCESS-CM2,ssp126,2059,133.63526068
ACCESS-CM2,ssp126,2060,141.61955122
ACCESS-CM2,ssp126,2061,152.00352188
ACCESS-CM2,ssp126,2062,34.89168458
ACCESS-CM2,ssp126,2063,129.54272282
ACCESS-CM2,ssp126,2064,146.31805420
ACCESS-CM2,ssp126,2065,75.76520546
ACCESS-CM2,ssp126,2066,60.16635723
ACCESS-CM2,ssp126,2067,79.42116996
ACCESS-CM2,ssp126,2068,87.87015679
ACCESS-CM2,ssp126,2069,175.93115487
ACCESS-CM2,ssp126,2070,117.57611372
ACCESS-CM2,ssp126,2071,131.13469469
ACCESS-CM2,ssp126,2072,86.56113246
ACCESS-CM2,ssp126,2073,136.67449693
ACCESS-CM2,ssp126,2074,111.81236435
