model,experiment,year,pr
ACCESS-CM2,historical,1960,62.97152092
ACCESS-CM2,historical,1961,57.13853273
ACCESS-CM2,historical,1962,94.41492911
ACCESS-CM2,historical,1963,82.88707346
ACCESS-CM2,historical,1964,77.24443833
ACCESS-CM2,historical,1965,119.66647935
ACCESS-CM2,historical,1966,56.40787450
ACCESS-CM2,historical,1967,76.92860893
ACCESS-CM2,historical,1968,35.80176846
ACCESS-CM2,historical,1969,57.38265971
ACCESS-CM2,historical,1970,48.18983300
ACCESS-CM2,historical,1971,62.05570976
ACCESS-CM2,historical,1972,73.51283807
ACCESS-CM2,historical,1973,113.73653312
ACCESS-CM2,historical,1974,73.48901524
ACCESS-CM2,historical,1975,127.15346176
ACCESS-CM2,historical,1976,90.90756641
ACCESS-CM2,historical,1977,77.63933404
ACCESS-CM2,historical,1978,93.78109866
ACCESS-CM2,historical,1979,38.42642128
ACCESS-CM2,historical,1980,61.12026486
ACCESS-CM2,historical,1981,49.41025019
ACCESS-CM2,historical,1982,41.41800706
ACCESS-CM2,historical,1983,57.53734337
ACCESS-CM2,historical,1984,94.93054738
ACCESS-CM2,historical,1985,135.98405876
ACCESS-CM2,historical,1986,44.22400386
ACCESS-CM2,historical,1987,84.88242962
ACCESS-CM2,historical,1988,84.59669284
ACCESS-CM2,historical,1989,26.84586359
ACCESS-CM2,historical,1990,101.69845723
ACCESS-CM2,historical,1991,75.85396583
ACCESS-CM2,historical,1992,54.31594591
ACCESS-CM2,historical,1993,128.80804218
ACCESS-CM2,historical,1994,72.63250163
ACCESS-CM2,historical,1995,52.55484038
ACCESS-CM2,historical,1996,26.10123558
ACCESS-CM2,historical,1997,50.88262299
ACCESS-CM2,historical,1998,81.39309191
ACCESS-CM2,historical,1999,67.53109835
ACCESS-CM2,historical,2000,56.50372657
ACCESS-CM2,historical,2001,81.59312233
ACCESS-CM2,historical,2002,123.87248301
ACCESS-CM2,historical,2003,61.16191074
ACCESS-CM2,historical,2004,90.64883746
ACCESS-CM2,historical,2005,63.57229246
ACCESS-CM2,historical,2006,86.29220693
ACCESS-CM2,historical,2007,136.89001460
ACCESS-CM2,historical,2008,92.13641720
ACCESS-CM2,historical,2009,107.58833598
ACCESS-CM2,historical,2010,63.56661006
ACCESS-CM2,historical,2011,106.12491598
ACCESS-CM2,historical,2012,57.42532755
ACCESS-CM2,historical,2013,49.18610278
ACCESS-CM2,historical,2014,114.10977645
ACCESS-CM2,ssp126,2015,88.89056447
ACCESS-CM2,ssp126,2016,48.17431818
ACCESS-CM2,ssp126,2017,139.23610027
ACCESS-CM2,ssp126,2018,95.01991259
ACCESS-CM2,ssp126,2019,79.38918223
ACCESS-CM2,ssp126,2020,124.71233562
ACCESS-CM2,ssp126,2021,63.59584876
ACCESS-CM2,ssp126,2022,75.30853030
ACCESS-CM2,ssp126,2023,85.85129945
ACCESS-CM2,ssp126,2024,60.82734378
ACCESS-CM2,ssp126,2025,139.13041315
ACCESS-CM2,ssp126,2026,49.24508857
ACCESS-CM2,ssp126,2027,52.16853163
ACCESS-CM2,ssp126,2028,90.51262020
ACCESS-CM2,ssp126,2029,92.70171354
ACCESS-CM2,ssp126,2030,79.30935763
ACCESS-CM2,ssp126,2031,99.38365455
ACCESS-CM2,ssp126,2032,49.80427314
ACCESS-CM2,ssp126,2033,87.72039821
ACCESS-CM2,ssp126,2034,74.90056387
ACCESS-CM2,ssp126,2035,98.54709868
ACCESS-CM2,ssp126,2036,108.55102987
ACCESS-CM2,ssp126,2037,72.45585272
ACCESS-CM2,ssp126,2038,29.46927641
ACCESS-CM2,ssp126,2039,90.43557617
ACCESS-CM2,ssp126,2040,61.55073442
ACCESS-CM2,ssp126,2041,39.76747520
ACCESS-CM2,ssp126,2042,24.62348125
ACCESS-CM2,ssp126,2043,76.43297649
ACCESS-CM2,ssp126,2044,113.94892087
ACCESS-CM2,ssp126,2045,86.91677575
ACCESS-CM2,ssp126,2046,48.71086973
ACCESS-CM2,ssp126,2047,127.15346882
ACCESS-CM2,ssp126,2048,83.10483014
ACCESS-CM2,ssp126,2049,103.86840832
ACCESS-CM2,ssp126,2050,66.84438720
ACCESS-CM2,ssp126,2051,76.86147609
ACCESS-CM2,ssp126,2052,98.28493635
ACCESS-CM2,ssp126,2053,114.64091843
ACCESS-CM2,ssp126,2054,96.77899136
ACCESS-CM2,ssp126,2055,87.26881210
ACCESS-CM2,ssp126,2056,94.65316227
ACCESS-CM2,ssp126,2057,103.37685599
ACCESS-CM2,ssp126,2058,73.12403855
ACCESS-CM2,ssp126,2059,95.12471843
ACCESS-CM2,ssp126,2060,85.03908931
ACCESS-CM2,ssp126,2061,111.31984461
ACCESS-CM2,ssp126,2062,23.50877754
ACCESS-CM2,ssp126,2063,72.55183122
ACCESS-CM2,ssp126,2064,74.51472740
ACCESS-CM2,ssp126,2065,63.18856433
ACCESS-CM2,ssp126,2066,45.20591410
ACCESS-CM2,ssp126,2067,77.32332506
ACCESS-CM2,ssp126,2068,72.05465849
ACCESS-CM2,ssp126,2069,92.13426966
ACCESS-CM2,ssp126,2070,85.20455615
ACCESS-CM2,ssp126,2071,107.02671006
ACCESS-CM2,ssp126,2072,73.82579619
ACCESS-CM2,ssp126,2073,104.41067486
ACCESS-CM2,ssp126,2074,62.44893486
ACCESS-CM2,ssp126,2075,70.22064555
ACCESS-CM2,ssp126,2076,95.49101057
ACCESS-CM2,ssp126,2077,57.99967085
ACCESS-CM2,ssp126,2078,73.00266112
ACCESS-CM2,ssp126,2079,112.03139965
ACCESS-CM2,ssp126,2080,96.74720472
ACCESS-CM2,ssp126,2081,35.10311692
ACCESS-CM2,ssp126,2082,117.12105195
ACCESS-CM2,ssp126,2083,85.84959718
ACCESS-CM2,ssp126,2084,73.40462167
ACCESS-CM2,ssp126,2085,30.89119600
ACCESS-CM2,ssp126,2086,77.69534382
ACCESS-CM2,ssp126,2087,155.21379740
ACCESS-CM2,ssp126,2088,118.72960384
ACCESS-CM2,ssp126,2089,100.39108552
ACCESS-CM2,ssp126,2090,79.28279910
ACCESS-CM2,ssp126,2091,94.26323186
ACCESS-CM2,ssp126,2092,72.25584652
ACCESS-CM2,ssp126,2093,47.51088148
ACCESS-CM2,ssp126,2094,118.52763740
ACCESS-CM2,ssp126,2095,61.68162897
ACCESS-CM2,ssp126,2096,70.73036932
ACCESS-CM2,ssp126,2097,122.83363075
ACCESS-CM2,ssp126,2098,47.25111259
ACCESS-CM2,ssp126,2099,96.49547018
ACCESS-CM2,ssp245,2015,44.86248888
ACCESS-CM2,ssp245,2016,124.03179563
ACCESS-CM2,ssp245,2017,28.71532740
ACCESS-CM2,ssp245,2018,63.01890270
ACCESS-CM2,ssp245,2019,84.19720711
ACCESS-CM2,ssp245,2020,120.10048117
ACCESS-CM2,ssp245,2021,119.61316063
ACCESS-CM2,ssp245,2022,106.47200023
ACCESS-CM2,ssp245,2023,100.68257252
ACCESS-CM2,ssp245,2024,49.94263587
ACCESS-CM2,ssp245,2025,78.41300050
ACCESS-CM2,ssp245,2026,60.63788776
ACCESS-CM2,ssp245,2027,76.40581514
ACCESS-CM2,ssp245,2028,88.06141165
ACCESS-CM2,ssp245,2029,134.03198817
ACCESS-CM2,ssp245,2030,87.17158352
ACCESS-CM2,ssp245,2031,126.48952972
ACCESS-CM2,ssp245,2032,51.57491624
ACCESS-CM2,ssp245,2033,46.80508699
ACCESS-CM2,ssp245,2034,67.67166355
ACCESS-CM2,ssp245,2035,53.31109103
ACCESS-CM2,ssp245,2036,50.41894290
ACCESS-CM2,ssp245,2037,81.73367735
ACCESS-CM2,ssp245,2038,60.13590388
ACCESS-CM2,ssp245,2039,47.07035553
ACCESS-CM2,ssp245,2040,89.24384993
ACCESS-CM2,ssp245,2041,68.81002050
ACCESS-CM2,ssp245,2042,73.25717355
ACCESS-CM2,ssp245,2043,91.20864366
ACCESS-CM2,ssp245,2044,72.41025838
ACCESS-CM2,ssp245,2045,127.46208218
ACCESS-CM2,ssp245,2046,109.74438885
ACCESS-CM2,ssp245,2047,76.39266164
ACCESS-CM2,ssp245,2048,83.84816093
ACCESS-CM2,ssp245,2049,87.59338359
ACCESS-CM2,ssp245,2050,58.22780386
ACCESS-CM2,ssp245,2051,145.63065083
ACCESS-CM2,ssp245,2052,60.95786326
ACCESS-CM2,ssp245,2053,71.98597621
ACCESS-CM2,ssp245,2054,71.06492244
ACCESS-CM2,ssp245,2055,58.38783129
ACCESS-CM2,ssp245,2056,82.98476652
ACCESS-CM2,ssp245,2057,50.04431905
ACCESS-CM2,ssp245,2058,71.34430992
ACCESS-CM2,ssp245,2059,102.68683172
ACCESS-CM2,ssp245,2060,131.49216123
ACCESS-CM2,ssp245,2061,40.38700307
ACCESS-CM2,ssp245,2062,44.48073512
ACCESS-CM2,ssp245,2063,64.49491811
ACCESS-CM2,ssp245,2064,138.58022589
ACCESS-CM2,ssp245,2065,56.52905920
ACCESS-CM2,ssp245,2066,28.17544263
ACCESS-CM2,ssp245,2067,46.55548681
ACCESS-CM2,ssp245,2068,70.72657570
ACCESS-CM2,ssp245,2069,55.88777932
ACCESS-CM2,ssp245,2070,90.27496167
ACCESS-CM2,ssp245,2071,104.97052581
ACCESS-CM2,ssp245,2072,89.99460223
ACCESS-CM2,ssp245,2073,83.41703550
ACCESS-CM2,ssp245,2074,145.03980681
ACCESS-CM2,ssp245,2075,109.72720830
ACCESS-CM2,ssp245,2076,66.51242529
ACCESS-CM2,ssp245,2077,134.02744575
ACCESS-CM2,ssp245,2078,40.09775766
ACCESS-CM2,ssp245,2079,74.04143453
ACCESS-CM2,ssp245,2080,53.58884254
ACCESS-CM2,ssp245,2081,87.51042214
ACCESS-CM2,ssp245,2082,58.81416459
ACCESS-CM2,ssp245,2083,65.84670185
ACCESS-CM2,ssp245,2084,72.21303045
ACCESS-CM2,ssp245,2085,162.47866090
ACCESS-CM2,ssp245,2086,53.01237943
ACCESS-CM2,ssp245,2087,69.61153784
ACCESS-CM2,ssp245,2088,132.48883431
ACCESS-CM2,ssp245,2089,62.26451602
ACCESS-CM2,ssp245,2090,84.04797380
ACCESS-CM2,ssp245,2091,86.70633491
ACCESS-CM2,ssp245,2092,144.97082392
ACCESS-CM2,ssp245,2093,79.96494060
ACCESS-CM2,ssp245,2094,67.74516743
ACCESS-CM2,ssp245,2095,69.18452919
ACCESS-CM2,ssp245,2096,69.81716409
ACCESS-CM2,ssp245,2097,64.30789407
ACCESS-CM2,ssp245,2098,72.87250616
ACCESS-CM2,ssp245,2099,100.03543552
ACCESS-CM2,ssp370,2015,72.41012955
ACCESS-CM2,ssp370,2016,42.26531042
ACCESS-CM2,ssp370,2017,104.07870962
ACCESS-CM2,ssp370,2018,88.27114574
ACCESS-CM2,ssp370,2019,79.43303145
ACCESS-CM2,ssp370,2020,38.42402085
ACCESS-CM2,ssp370,2021,45.56189719
ACCESS-CM2,ssp370,2022,24.68131446
ACCESS-CM2,ssp370,2023,61.25392389
ACCESS-CM2,ssp370,2024,49.18634522
ACCESS-CM2,ssp370,2025,94.35281351
ACCESS-CM2,ssp370,2026,61.52308833
ACCESS-CM2,ssp370,2027,93.38960275
ACCESS-CM2,ssp370,2028,89.65700544
ACCESS-CM2,ssp370,2029,51.16791001
ACCESS-CM2,ssp370,2030,121.19053048
ACCESS-CM2,ssp370,2031,131.43393309
ACCESS-CM2,ssp370,2032,126.05168059
ACCESS-CM2,ssp370,2033,66.85823078
ACCESS-CM2,ssp370,2034,44.94800425
ACCESS-CM2,ssp370,2035,80.40937087
ACCESS-CM2,ssp370,2036,70.07795266
ACCESS-CM2,ssp370,2037,65.93202635
ACCESS-CM2,ssp370,2038,62.49951643
ACCESS-CM2,ssp370,2039,153.28600259
ACCESS-CM2,ssp370,2040,97.97648439
ACCESS-CM2,ssp370,2041,48.72427948
ACCESS-CM2,ssp370,2042,50.97020974
ACCESS-CM2,ssp370,2043,81.16781539
ACCESS-CM2,ssp370,2044,83.76455447
ACCESS-CM2,ssp370,2045,36.32032670
ACCESS-CM2,ssp370,2046,81.92143536
ACCESS-CM2,ssp370,2047,65.18538798
ACCESS-CM2,ssp370,2048,127.11628310
ACCESS-CM2,ssp370,2049,105.31530021
ACCESS-CM2,ssp370,2050,93.38148808
ACCESS-CM2,ssp370,2051,89.95289184
ACCESS-CM2,ssp370,2052,75.78889529
ACCESS-CM2,ssp370,2053,38.73981158
ACCESS-CM2,ssp370,2054,52.22784095
ACCESS-CM2,ssp370,2055,44.50603209
ACCESS-CM2,ssp370,2056,71.58596145
ACCESS-CM2,ssp370,2057,80.48424107
ACCESS-CM2,ssp370,2058,18.16321782
ACCESS-CM2,ssp370,2059,64.51743080
ACCESS-CM2,ssp370,2060,82.53983501
ACCESS-CM2,ssp370,2061,19.41471950
ACCESS-CM2,ssp370,2062,97.82198676
ACCESS-CM2,ssp370,2063,90.77548678
ACCESS-CM2,ssp370,2064,54.47074174
ACCESS-CM2,ssp370,2065,39.38210424
ACCESS-CM2,ssp370,2066,101.16998866
ACCESS-CM2,ssp370,2067,152.69279054
ACCESS-CM2,ssp370,2068,41.90049206
ACCESS-CM2,ssp370,2069,91.73065284
ACCESS-CM2,ssp370,2070,98.94935728
ACCESS-CM2,ssp370,2071,76.75559770
ACCESS-CM2,ssp370,2072,58.46811828
ACCESS-CM2,ssp370,2073,60.25904590
ACCESS-CM2,ssp370,2074,77.48855157
ACCESS-CM2,ssp370,2075,38.61566044
ACCESS-CM2,ssp370,2076,142.69422086
ACCESS-CM2,ssp370,2077,29.64652853
ACCESS-CM2,ssp370,2078,98.91481680
ACCESS-CM2,ssp370,2079,128.21078319
ACCESS-CM2,ssp370,2080,63.17983991
ACCESS-CM2,ssp370,2081,84.50993301
ACCESS-CM2,ssp370,2082,59.46803844
ACCESS-CM2,ssp370,2083,90.37555687
ACCESS-CM2,ssp370,2084,100.35369370
ACCESS-CM2,ssp370,2085,160.88805143
ACCESS-CM2,ssp370,2086,75.72565199
ACCESS-CM2,ssp370,2087,73.83789467
ACCESS-CM2,ssp370,2088,72.23686813
ACCESS-CM2,ssp370,2089,112.41286013
ACCESS-CM2,ssp370,2090,66.89312928
ACCESS-CM2,ssp370,2091,48.27109155
ACCESS-CM2,ssp370,2092,49.59696237
ACCESS-CM2,ssp370,2093,87.89873922
ACCESS-CM2,ssp370,2094,133.34199705
ACCESS-CM2,ssp370,2095,79.96869686
ACCESS-CM2,ssp370,2096,100.01051104
ACCESS-CM2,ssp370,2097,60.21483937
ACCESS-CM2,ssp370,2098,54.91248662
ACCESS-CM2,ssp370,2099,86.95572676
ACCESS-CM2,ssp585,2015,55.61422232
ACCESS-CM2,ssp585,2016,56.40259897
ACCESS-CM2,ssp585,2017,77.71377925
ACCESS-CM2,ssp585,2018,95.57572180
ACCESS-CM2,ssp585,2019,42.74562578
ACCESS-CM2,ssp585,2020,116.31615914
ACCESS-CM2,ssp585,2021,63.96784920
ACCESS-CM2,ssp585,2022,134.25364980
ACCESS-CM2,ssp585,2023,65.28081474
ACCESS-CM2,ssp585,2024,28.69268875
ACCESS-CM2,ssp585,2025,42.21994129
ACCESS-CM2,ssp585,2026,72.32956273
ACCESS-CM2,ssp585,2027,48.87236945
ACCESS-CM2,ssp585,2028,57.48018154
ACCESS-CM2,ssp585,2029,180.44719549
ACCESS-CM2,ssp585,2030,109.60914319
ACCESS-CM2,ssp585,2031,64.90462907
ACCESS-CM2,ssp585,2032,29.69344802
ACCESS-CM2,ssp585,2033,76.05193156
ACCESS-CM2,ssp585,2034,63.20882445
ACCESS-CM2,ssp585,2035,37.35014866
ACCESS-CM2,ssp585,2036,65.25969307
ACCESS-CM2,ssp585,2037,95.97325446
ACCESS-CM2,ssp585,2038,73.36167200
ACCESS-CM2,ssp585,2039,108.74644402
ACCESS-CM2,ssp585,2040,71.52120651
ACCESS-CM2,ssp585,2041,71.83598554
ACCESS-CM2,ssp585,2042,108.45412875
ACCESS-CM2,ssp585,2043,102.92280292
ACCESS-CM2,ssp585,2044,41.63812743
ACCESS-CM2,ssp585,2045,62.31914071
ACCESS-CM2,ssp585,2046,32.64358466
ACCESS-CM2,ssp585,2047,49.04749758
ACCESS-CM2,ssp585,2048,67.99300326
ACCESS-CM2,ssp585,2049,61.81455364
ACCESS-CM2,ssp585,2050,76.62483891
ACCESS-CM2,ssp585,2051,54.11761555
ACCESS-CM2,ssp585,2052,51.51409085
ACCESS-CM2,ssp585,2053,161.95076512
ACCESS-CM2,ssp585,2054,59.81068216
ACCESS-CM2,ssp585,2055,107.89684802
ACCESS-CM2,ssp585,2056,67.06440379
ACCESS-CM2,ssp585,2057,42.09088718
ACCESS-CM2,ssp585,2058,64.00225257
ACCESS-CM2,ssp585,2059,121.56649489
ACCESS-CM2,ssp585,2060,42.19236359
ACCESS-CM2,ssp585,2061,87.39387718
ACCESS-CM2,ssp585,2062,36.04390033
ACCESS-CM2,ssp585,2063,92.77845994
ACCESS-CM2,ssp585,2064,36.38909840
ACCESS-CM2,ssp585,2065,72.14858924
ACCESS-CM2,ssp585,2066,57.63366200
ACCESS-CM2,ssp585,2067,106.58687426
ACCESS-CM2,ssp585,2068,88.87317540
ACCESS-CM2,ssp585,2069,66.64282065
ACCESS-CM2,ssp585,2070,125.97475688
ACCESS-CM2,ssp585,2071,115.51410124
ACCESS-CM2,ssp585,2072,80.31846522
ACCESS-CM2,ssp585,2073,78.80578788
