model,experiment,year,pr
ACCESS-CM2,historical,1960,125.77791633
ACCESS-CM2,historical,1961,258.57040686
ACCESS-CM2,historical,1962,206.78353292
ACCESS-CM2,historical,1963,313.56887791
ACCESS-CM2,historical,1964,199.86556894
ACCESS-CM2,historical,1965,216.26218705
ACCESS-CM2,historical,1966,148.15050242
ACCESS-CM2,historical,1967,140.66888501
ACCESS-CM2,historical,1968,113.01961472
ACCESS-CM2,historical,1969,255.19092918
ACCESS-CM2,historical,1970,135.19954217
ACCESS-CM2,historical,1971,206.25868167
ACCESS-CM2,historical,1972,181.06754547
ACCESS-CM2,historical,1973,268.47806768
ACCESS-CM2,historical,1974,246.59890406
ACCESS-CM2,historical,1975,260.87932857
ACCESS-CM2,historical,1976,317.34425322
ACCESS-CM2,historical,1977,127.26549640
ACCESS-CM2,historical,1978,206.46204545
ACCESS-CM2,historical,1979,38.80181197
ACCESS-CM2,historical,1980,194.29914523
ACCESS-CM2,historical,1981,143.57832589
ACCESS-CM2,historical,1982,143.45419715
ACCESS-CM2,historical,1983,184.60415837
ACCESS-CM2,historical,1984,168.36635936
ACCESS-CM2,historical,1985,124.31262931
ACCESS-CM2,historical,1986,86.55168939
ACCESS-CM2,historical,1987,355.70063903
ACCESS-CM2,historical,1988,204.09116342
ACCESS-CM2,historical,1989,135.10083631
ACCESS-CM2,historical,1990,259.55927698
ACCESS-CM2,historical,1991,164.03805718
ACCESS-CM2,historical,1992,157.86211942
ACCESS-CM2,historical,1993,182.13571920
ACCESS-CM2,historical,1994,249.18626111
ACCESS-CM2,historical,1995,141.03471183
ACCESS-CM2,historical,1996,127.01204150
ACCESS-CM2,historical,1997,220.05291062
ACCESS-CM2,historical,1998,342.50982839
ACCESS-CM2,historical,1999,184.09759808
ACCESS-CM2,historical,2000,82.35277982
ACCESS-CM2,historical,2001,112.30282618
ACCESS-CM2,historical,2002,182.34863683
ACCESS-CM2,historical,2003,123.22312271
ACCESS-CM2,historical,2004,141.23204484
ACCESS-CM2,historical,2005,64.04052207
ACCESS-CM2,historical,2006,132.00730025
ACCESS-CM2,historical,2007,178.10267081
ACCESS-CM2,historical,2008,192.09813825
ACCESS-CM2,historical,2009,215.15896740
ACCESS-CM2,historical,2010,208.12077088
ACCESS-CM2,historical,2011,165.38692983
ACCESS-CM2,historical,2012,235.62031173
ACCESS-CM2,historical,2013,100.80822705
ACCESS-CM2,historical,2014,299.00568720
ACCESS-CM2,ssp126,2015,246.31212592
ACCESS-CM2,ssp126,2016,166.04652847
ACCESS-CM2,ssp126,2017,184.78597483
ACCESS-CM2,ssp126,2018,262.53967053
ACCESS-CM2,ssp126,2019,307.00248164
ACCESS-CM2,ssp126,2020,98.91371991
ACCESS-CM2,ssp126,2021,106.93273865
ACCESS-CM2,ssp126,2022,231.65891682
ACCESS-CM2,ssp126,2023,265.67290043
ACCESS-CM2,ssp126,2024,237.50600530
ACCESS-CM2,ssp126,2025,274.28233660
ACCESS-CM2,ssp126,2026,156.22652989
ACCESS-CM2,ssp126,2027,307.20935702
ACCESS-CM2,ssp126,2028,253.62750721
ACCESS-CM2,ssp126,2029,225.79163021
ACCESS-CM2,ssp126,2030,124.19598877
ACCESS-CM2,ssp126,2031,174.53730620
ACCESS-CM2,ssp126,2032,308.24112612
ACCESS-CM2,ssp126,2033,178.19663356
ACCESS-CM2,ssp126,2034,148.49521783
ACCESS-CM2,ssp126,2035,278.57840354
ACCESS-CM2,ssp126,2036,211.88419103
ACCESS-CM2,ssp126,2037,95.13309909
ACCESS-CM2,ssp126,2038,76.58153217
